Citance Number: 1 | Reference Article:  P93-1008.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Dowding et al (1993) reported syntactic and semantic coverage of 86% for the DARPA Airline reservation corpus (Dowding et al, 1993).</S> | Reference Offset:  ['30','110'] | Reference Text:  <S sid = 30 ssid = >This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S><S sid = 110 ssid = >The repair correction mechanism helps increase the syntactic and semantic coverage of Gemini (as reported in Table 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1008.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a test set containing 26 repairs (Dowding et al, 1993), they obtained a detection recall rate of 42% and a precision of 84.6%; for correction, they obtained a recall rate of 30% and a recall rate of 62%.</S> | Reference Offset:  ['113','117'] | Reference Text:  <S sid = 113 ssid = >Similarly, the 756utterance test set contained 26 repairs, of which Gemini found 11(42%).</S><S sid = 117 ssid = >In the 756utterance test set, only 2 sentences were misidentified as containing repairs (0.26%).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1008.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dowding et al (1993) used a similar setup for their data.</S> | Reference Offset:  ['30','89'] | Reference Text:  <S sid = 30 ssid = >This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S><S sid = 89 ssid = >Many systems (Carbonell and Hayes, 1983), (Hobbs et al., 1992), (Seneff, 1992), (Stallard and Bobrow, 1992) have added robustness with a similar postprocessing phase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1008.txt | Citing Article:  P01-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Typed Unification Grammars (TUG), like HPSG (Pollard and Sag 1994) and Gemini (Dowding et al. 1993) are a more expressive formalism in which to write formal grammars.</S> | Reference Offset:  ['30','57'] | Reference Text:  <S sid = 30 ssid = >This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S><S sid = 57 ssid = >The main advantage of typed unification is for grammar development.</S> | Discourse Facet:  NA | Annotator: Automatic


