Citance Number: 1 | Reference Article:  N10-1056.txt | Citing Article:  P11-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yatskar et al (2010) learn lexical simplification rules from the edit histories of Wikipedia Simple articles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We report on work in progress on extractlexical simplifications (e.g., focusing on utilizing edit histories in Simple English Wikipedia for this task.</S><S sid = NA ssid = NA>The crux of our proposal is to learn lexical simplifications from SimpleEW edit histories, thus leveraging the efforts of the 18K pseudonymous individuals who work on SimpleEW.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1056.txt | Citing Article:  S12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Yatskar et al., 2010) use an unsupervised learning method and meta data from the Simple English Wikipedia.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the sake of simplicity: Unsupervised extraction of lexical simplifications from Wikipedia</S><S sid = NA ssid = NA>One major effort to produce such text is the Simple English Wikipedia (henceforth SimpleEW)1, a sort of spin-off of the well-known English Wikipedia (henceforth ComplexEW) where human editors enforce simplicity of language through rewriting.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1056.txt | Citing Article:  S12-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Simple English Wikipedia has been used before in simplicity analysis, as described in (Yatskar et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One major effort to produce such text is the Simple English Wikipedia (henceforth SimpleEW)1, a sort of spin-off of the well-known English Wikipedia (henceforth ComplexEW) where human editors enforce simplicity of language through rewriting.</S><S sid = NA ssid = NA>For the sake of simplicity: Unsupervised extraction of lexical simplifications from Wikipedia</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1056.txt | Citing Article:  P11-4017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The sequence of article edits can be used as training data for data-driven NLP algorithms, such as vandalism detection (Chin et al, 2010), text summarization (Nelken and Yamangil, 2008), sentence compression (Yamangil and Nelken, 2008), unsupervised extraction of lexical simplifications (Yatskar et al, 2010), the expansion of textual entailment corpora (Zanzotto and Pennacchiotti, 2010), or assesing the trustworthiness of Wikipedia articles (Zeng et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the sake of simplicity: Unsupervised extraction of lexical simplifications from Wikipedia</S><S sid = NA ssid = NA>We say that the kth article in a Wikipedia corresponds to (among other things) a title or topic (e.g., ~ “Cat”) and a sequence dk of article versions caused by successive edits.</S> | Discourse Facet:  NA | Annotator: Automatic


