Citance Number: 1 | Reference Article:  P96-1008.txt | Citing Article:  P98-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The OVIS annotations are in contrast with other corpora and systems (e.g. Miller et al. 1996), in that our annotation convention exploits the Principle of Compositionality of Meaning.</S> | Reference Offset:  ['8','59'] | Reference Text:  <S sid = 8 ssid = >Development of a complete end-to-end statistical understanding system has been the focus of several ongoing research efforts, including (Miller et al. 1995) and (Koppelman et al.</S><S sid = 59 ssid = >For details of the decoder, see (Miller 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P96-1008.txt | Citing Article:  P03-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This use of model-theoretic interpretation represents an important extension to thesemantic grammars used in existing statistical spoken language interfaces, which rely on co-occurrences among lexically-determined semantic classes and slot fillers (Miller et al, 1996), in that the probability of an analysis is now also conditioned on the existence of denoted entities and relations in the world model.</S> | Reference Offset:  ['0','104'] | Reference Text:  <S sid = 0 ssid = >A Fully Statistical Approach To Natural Language Interfaces</S><S sid = 104 ssid = >The probability of each of these operations is determined by a statistical decision tree model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P96-1008.txt | Citing Article:  D10-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples include an early statistical method for learning to fill slot-value representations (Miller et al, 1996) and a more recent approach for recovering semantic parse trees (Ge & Mooney, 2006).</S> | Reference Offset:  ['16','46'] | Reference Text:  <S sid = 16 ssid = >Some key advantages to statistical modeling techniques are: sufficient to provide the system with examples specifying the correct parses for a set of training examples.</S><S sid = 46 ssid = >In content, however, the parse trees are as much semantic as syntactic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P96-1008.txt | Citing Article:  W04-3111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An influential precursor to this integration is the system described in (Miller et al, 1996).</S> | Reference Offset:  ['50','59'] | Reference Text:  <S sid = 50 ssid = >The parsing model is a probabilistic recursive transition network similar to those described in (Miller et al. 1994) and (Seneff 1992).</S><S sid = 59 ssid = >For details of the decoder, see (Miller 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P96-1008.txt | Citing Article:  P09-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are only aware of one system that learns to construct context-dependent interpretations (Miller et al, 1996).</S> | Reference Offset:  ['8','59'] | Reference Text:  <S sid = 8 ssid = >Development of a complete end-to-end statistical understanding system has been the focus of several ongoing research efforts, including (Miller et al. 1995) and (Koppelman et al.</S><S sid = 59 ssid = >For details of the decoder, see (Miller 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


