Citance Number: 1 | Reference Article:  A92-1021.txt | Citing Article:  P03-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Candidates considered in the semantic tagging process are noun phrases NP, proposition phrases PP, verb phrases VP, adjectives ADJ and adverbs ADV. To gather these candidates we used the Brill transformational tagger (Brill, 1992) for the part-of speech step and the CASS partial parser for the parsing step (Abney, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, it results in an additional 18 errors from changing tags which really should have been verb to noun.</S><S sid = NA ssid = NA>Once the initial tagger is trained, it is used to tag the patch corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A92-1021.txt | Citing Article:  W01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The noun phrase extraction module uses Brill's POS tagger [Brill (1992)] and a base NPchunker [Ramshaw and Marcus (1995)].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is because a noun phrase is much more likely to immediately follow a preposition than to immediately follow infinitive TO.</S><S sid = NA ssid = NA>Everything except for the proper noun discovery procedure is automatically acquired by the rule-based tagger7, making it much more portable than a stochastic tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A92-1021.txt | Citing Article:  C00-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The fact that the simple rule-based tagger can perform so well should offer encouragement for researchers to further explore rule-based tagging, searching for a better and more expressive set of patch templates and other variations on this simple but effective theme.</S><S sid = NA ssid = NA>Once the initial tagger is trained, it is used to tag the patch corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A92-1021.txt | Citing Article:  W06-3402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to include features describing verb tense, we use Brill's part-of-speech tagger (Brill, 1992). Each part of speech (POS) is taken to be a feature, whose value is a count of the number of occurrences in the given utterance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Simple Rule-Based Part Of Speech Tagger</S><S sid = NA ssid = NA>These stochastic part of speech taggers make use of a Markov model which captures lexical and contextual information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A92-1021.txt | Citing Article:  I08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to extract the linguistic features necessary for the ME model in WSD tasks, all sentences containing the target word are automatically part-of speech (POS) tagged using the Brill POS tagger (Brill, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Once the parameters of the model are estimated, a sentence can then be automatically tagged by assigning it the tag sequence which is assigned the highest probability by the model.</S><S sid = NA ssid = NA>The first patch states that if a word is tagged TO and the following word is tagged AT, then switch the tag from TO to IN.</S> | Discourse Facet:  NA | Annotator: Automatic


