Citance Number: 1 | Reference Article:  P03-1021.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Alternatively, one can train them with respect to the final translation quality measured by some error criterion (Och, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we investigate methods to efficiently optimize model parameters with respect to machine translation quality as measured by automatic evaluation criteria such as word error rate and BLEU.</S><S sid = NA ssid = NA>4 yields parameters that are optimal with respect to translation quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1021.txt | Citing Article:  P14-2122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The data sets of NIST Eval 2002 to 2005 were used as the development for MERT tuning (Och, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The development corpus was used to optimize the parameters of the log-linear model.</S><S sid = NA ssid = NA>Table 1 provides some statistics on the training, development and test corpus used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1021.txt | Citing Article:  N04-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by DARPA-ITO grant 66001-00-1-9814.</S><S sid = NA ssid = NA>In this paper, we use the following methods: multi-reference word error rate (mWER): When this method is used, the hypothesis translation is compared to various reference translations by computing the edit distance (minimum number of substitutions, insertions, deletions) between the hypothesis and the closest of the given reference translations. multi-reference position independent error rate (mPER): This criterion ignores the word order by treating a sentence as a bag-of-words and computing the minimum number of substitutions, insertions, deletions needed to transform the hypothesis into the closest of the given reference translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1021.txt | Citing Article:  P09-2058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We tune all feature weights automatically (Och, 2003) to maximize the BLEU (Papineni et al, 2002) score on the dev set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Examples of such methods are word error rate, position-independent word error rate (Tillmann et al., 1997), generation string accuracy (Bangalore et al., 2000), multi-reference word error rate (Nießen et al., 2000), BLEU score (Papineni et al., 2001), NIST score (Doddington, 2002).</S><S sid = NA ssid = NA>The use of log-linear models for statistical machine translation was suggested by Papineni et al. (1997) and Och and Ney (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


