Citance Number: 1 | Reference Article:  J93-1005.txt | Citing Article:  P94-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As the result, we conclude that if we do not resolve PP attachment problem (Hindle and Rooth, 1993), to the expected extent, we will not extract he maximal noun phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we expect that the method will be extendable to other instances of PP attachment ambiguity, such as the ambiguity that arises when several prepositional phrases follow a subject NP, and to ambiguities involving other phrases, especially phrases such as infinitives that have syntactic markers analogous to a preposition.</S><S sid = NA ssid = NA>Of the object noun phrases identified, 223,666 were ambiguous verb— noun—preposition triples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-1005.txt | Citing Article:  P12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PP-attachment is known to depend on the object of the preposition (Hindle and Rooth, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our object is to develop a procedure to guess whether a preposition is attached to the verb or its object when a verb and its object are followed by a preposition.</S><S sid = NA ssid = NA>... known to frequent the same bars in one neighborhood.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-1005.txt | Citing Article:  P12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For prepositions, we consider only cases in which the parent is a noun or a verb and the child is a noun (this corresponds to the cases considered by Hindleand Rooth (1993) and others).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In 241 of those cases, there is information only on noun or only on verb association.</S><S sid = NA ssid = NA>In some cases it is fairly certain whether the preposition attaches to the noun or the verb; in other cases, this is far less certain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-1005.txt | Citing Article:  P12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We therefore analyze the errors made on the development set to determine whether the difficult remaining cases for parsers correspond to the Hindle and Rooth (1993) style PP attachment classification task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In many cases, the decision was difficult.</S><S sid = NA ssid = NA>Disambiguating the test sample turned out to be a surprisingly difficult task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J93-1005.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hindle and Rooth (1993) were the first to show that a corpus-based approach to PP attachment ambiguity resolution can lead to good results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From another perspective, our results are less good than what might be demanded.</S><S sid = NA ssid = NA>There have been several structure-based proposals about ambiguity resolution in the literature; they are particularly attractive because they are simple and don't demand calculations in the semantic or discourse domains.</S> | Discourse Facet:  NA | Annotator: Automatic


