Citance Number: 1 | Reference Article:  W97-0322.txt | Citing Article:  S10-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once the corpus has been processed, clusters are repeatedly merged using HAC with the aver age link criteria, following (Pedersen and Bruce,1997).</S> | Reference Offset:  ['22','59'] | Reference Text:  <S sid = 22 ssid = >The two closest clusters are merged to form a new cluster that replaces the two merged clusters.</S><S sid = 59 ssid = >(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0322.txt | Citing Article:  N04-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here we are following (Pedersen and Bruce, 1997), who likewise took this approach to feature representation.</S> | Reference Offset:  ['59','100'] | Reference Text:  <S sid = 59 ssid = >(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S><S sid = 100 ssid = >Our feature sets are composed of various combinations of the following five types of features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0322.txt | Citing Article:  N04-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Context Representations SenseClusters supports two different representations of context, first order context vectors as used by (Pedersen and Bruce, 1997) and second order context vectors as suggested by (Schutze,1998).</S> | Reference Offset:  ['207','219'] | Reference Text:  <S sid = 207 ssid = >The set of context vectors for the word to be disambiguated are then clustered, and the clusters are manually sense tagged.</S><S sid = 219 ssid = >The &quot;expanded&quot; sense definitions are then compared to the context of an ambiguous word, and the sensedefinition with the greatest number of word overlaps with the context is selected as correct.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0322.txt | Citing Article:  W04-2410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But our model does have a natural preference for the most frequent sense in the thesaurus training corpus, which is a useful heuristic for word sense disambiguation (Pedersen and Bruce, 1997).</S> | Reference Offset:  ['58','114'] | Reference Text:  <S sid = 58 ssid = >This assumption is based on the success of the Naive Bayes model when applied to supervised word—sense disambiguation (e.g.</S><S sid = 114 ssid = >For words with skewed sense distribution, it is likely that the most frequent content words will be associated only with the dominate sense.</S> | Discourse Facet:  NA | Annotator: Automatic


