Citance Number: 1 | Reference Article:  P07-1003.txt | Citing Article:  W08-0308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches have been proposed recently towards getting better word alignment and thus better TTS templates, such as encoding syntactic structure information into the HMM-based word alignment model DeNero and Klein (2007), and building a syntax-based word alignment model Mayand Knight (2007) with TTS templates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This proposed model is not the first variant of the HMM model that incorporates syntax-based distortion.</S><S sid = NA ssid = NA>Our model generates word alignments that better respect the parse trees upon which they are conditioned, without sacrificing alignment quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1003.txt | Citing Article:  P10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We initialized the HMM model parameters with jointly trained Model 1 parameters (Liang et al, 2006), combined word-to-word posteriors by averaging (soft union), and decoded with the competitive thresholding heuristic of DeNero and Klein (2007), yielding a state-of the-art unsupervised baseline.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using the simple but effective joint training technique of Liang et al. (2006), we initialized the model with lexical parameters from a jointly trained implementation of IBM Model 1.</S><S sid = NA ssid = NA>Both models were initialized using the same jointly trained Model 1 parameters (5 iterations), then trained independently for 5 iterations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1003.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When we trained external Chinese models, we used the same unlabeled data set as DeNero and Klein (2007), including the bilingual dictionary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For Chinese, we trained on the FBIS corpus and the LDC bilingual dictionary, then tested on 491 hand-aligned sentences from the 2002 Hansards data from the NAACL 2003 Shared Task.3 We trained on 100k sentences for each language.</S><S sid = NA ssid = NA>We observed a similar 50% reduction for the Chinese data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1003.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also trained an HMM aligner as described in DeNero and Klein (2007) and used the posteriors of this model as features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we found this variant to slightly underperform the full model described above.</S><S sid = NA ssid = NA>Both models were initialized using the same jointly trained Model 1 parameters (5 iterations), then trained independently for 5 iterations.</S> | Discourse Facet:  NA | Annotator: Automatic


