Citance Number: 1 | Reference Article:  N03-1033.txt | Citing Article:  C04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, Toutanova et al (2003) presented a supervised conditional Markov Model part-of-speech tagger (CMM) which exploited information coming from both left and right contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The situation is reversed for the right-to-left CMM in figure 1(b).</S><S sid = NA ssid = NA>In essence, there is no difference between inference on this network and a second-order left-to-right CMM or HMM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1033.txt | Citing Article:  C04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The algorithms were trained and tested using version 3 of the Penn Treebank, using the training, development, and test split described in Collins (2002) and also employed by Toutanova et al (2003) in testing their supervised tagging algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We extracted tagged sentences from the parse trees.5 We split the data into training, development, and test sets as in (Collins, 2002).</S><S sid = NA ssid = NA>Table 6 contrasts our results with those from Collins (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1033.txt | Citing Article:  C04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the future, we will consider making an increase the context-size, which helped Toutanova et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Consider the two-node network in figure 2(c).</S><S sid = NA ssid = NA>Again, with roughly equivalent feature sets, the left context is better than the right, and the centered context is better than either unidirectional context. line for this task high, while substantial annotator noise creates an unknown upper bound on the task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1033.txt | Citing Article:  P14-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Stanford POS Tagger (Toutanova et al, 2003) to tokenize and POS tag English and German sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather, it is a more general dependency network (Heckerman et al., 2000).</S><S sid = NA ssid = NA>These issues are further discussed in Heckerman et al. (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N03-1033.txt | Citing Article:  E12-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We then obtain their POS N-grams from the Stanford POS tagger (Toutanova et al 2003), and count how many of them have the POS N-gram.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The count cutoff for this feature was 0 in the first model and 2 for the model in the second row.</S><S sid = NA ssid = NA>Rather, it is a more general dependency network (Heckerman et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


