Citance Number: 1 | Reference Article:  P03-2026.txt | Citing Article:  W07-1604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Izumi et al (2003) and (2004) used error annotated transcripts of Japanese speakers in an interview-based test of spoken English to train a maximum entropy classifier (Ratnaparkhi, 1998) to recognize 13 different types of grammatical and lexical errors, including errors involving prepositions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Error Detection In The Japanese Learners' English Spoken Data</S><S sid = NA ssid = NA>(e.g. article and tense errors) These are different from “error types” (omission or replacement).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-2026.txt | Citing Article:  C08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, (Izumi et al, 2003) reported error rates for English prepositions that were as high as 10% in a Japanese learner corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we would like to describe how we proceeded with error detection in the learner corpus.</S><S sid = NA ssid = NA>Automatic Error Detection In The Japanese Learners' English Spoken Data</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-2026.txt | Citing Article:  C08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Izumi et al., 2003) and (Izumi et al, 2004) used an ME approach to classify different grammatical errors in transcripts of Japanese interviews.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We applied different methods to detecting these two kinds of errors.</S><S sid = NA ssid = NA>(e.g. article and tense errors) These are different from “error types” (omission or replacement).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-2026.txt | Citing Article:  P08-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, in the Japanese Learners of English corpus (Izumi et al., 2003), errors related to verbs are among the most frequent categories.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Error Detection In The Japanese Learners' English Spoken Data</S><S sid = NA ssid = NA>This paper describes a method of detecting grammatical and lexical errors made by Japanese learners of English and other techniques that improve the accuracy of error detection with a limited amount of training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-2026.txt | Citing Article:  P08-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A maximum entropy model, using lexical and POS features, is trained in (Izumi et al, 2003) to recognize a variety of errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Maximum Entropy (ME) model (Jaynes 1957) is a general technique that is used to estimate the probability distributions of data.</S><S sid = NA ssid = NA>The over-riding principle in ME is that when nothing is known, the distribution should be as uniform as possible, i.e., maximum entropy.</S> | Discourse Facet:  NA | Annotator: Automatic


