Citance Number: 1 | Reference Article:  P97-1017.txt | Citing Article:  W98-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Extending this notion, (Knight and Graehl, 1997) built five probability distributions:.</S> | Reference Offset:  ['48','59'] | Reference Text:  <S sid = 48 ssid = >Extending this notion, we settled down to build five probability distributions: Given a katakana string o observed by OCR, we want to find the English word sequence w that maximizes the sum, over all e, j, and k, of Following (Pereira et al.. 1994; Pereira and Riley, 1996), we implement P(w) in a weighted finite-state acceptor (WFSA) and we implement the other distributions in weighted finite-state transducers (WFSTs).</S><S sid = 59 ssid = >This section describes how we designed and built each of our five models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1017.txt | Citing Article:  W98-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fortunately, the first two models of (Knight and Graehl, 1997) deal with English only, so we can reuse them directly for Arabic/English transliteration.</S> | Reference Offset:  ['8','167'] | Reference Text:  <S sid = 8 ssid = >However, the situation is more complicated for language pairs that employ very different alphabets and sound systems, such as Japanese/English and Arabic/English.</S><S sid = 167 ssid = >We also plan to explore probabilistic models for Arabic/English transliteration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1017.txt | Citing Article:  W98-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied the EM learning algorithm described in (Knight and Graehl, 1997) on this data, with one variation.</S> | Reference Offset:  ['89','97'] | Reference Text:  <S sid = 89 ssid = >We then applied the estimationmaximization (EM) algorithm (Baum, 1972) to generate symbol-mapping probabilities, shown in Figure 1.</S><S sid = 97 ssid = >Because no alignments are possible, such pairs are skipped by the learning algorithm; cases like these must be solved by dictionary lookup anyway.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1017.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Transliterations can be generated for tokens in a source phrase (Knightand Graehl, 1997), with o (f, e) calculating phonetic similarity rather than orthographic.</S> | Reference Offset:  ['18','123'] | Reference Text:  <S sid = 18 ssid = >Here are a few more examples: Notice how the transliteration is more phonetic than orthographic; the letter h in Johnson does not produce any katakana.</S><S sid = 123 ssid = >We start with a katakana phrase as observed by OCR.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P97-1017.txt | Citing Article:  I08-6004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Transliteration of a name, for the purpose of this work, is defined as its transcription in a different language, preserving the phonetics, perhaps in a different orthography [Knight and Graehl, 1997].</S> | Reference Offset:  ['1','8'] | Reference Text:  <S sid = 1 ssid = >It is challenging to translate names and technical terms across languages with different alphabets and sound inventories.</S><S sid = 8 ssid = >However, the situation is more complicated for language pairs that employ very different alphabets and sound systems, such as Japanese/English and Arabic/English.</S> | Discourse Facet:  NA | Annotator: Automatic


