Citance Number: 1 | Reference Article:  P06-1091.txt | Citing Article:  N07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >2.</S><S sid = 213 ssid = >The authors would like to thank the anonymous reviewers for their detailed criticism on this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1091.txt | Citing Article:  N07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Tillmann and Zhang, 2006) the model is optimized to produce a block orientation and the target sentence is used only for computing a sentence level BLEU.</S> | Reference Offset:  ['36','133'] | Reference Text:  <S sid = 36 ssid = >This block set is used to decode training sentence to obtain block orientation sequences that are used in the discriminative parameter training.</S><S sid = 133 ssid = >1 used in our model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1091.txt | Citing Article:  P13-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It might be the case that a larger k-best, or revisiting previous strategies for y+ and y− selection, such as bold updating, local updating (Liang et al, 2006b), or maxBLEU updating (Tillmann and Zhang, 2006) might have a greater impact.</S> | Reference Offset:  ['142','194'] | Reference Text:  <S sid = 142 ssid = >The block set is generated using a phrase-pair selection algorithm similar to (Koehn et al., 2003; Al-Onaizan et al., 2004), which includes some heuristic filtering to mal statement here.</S><S sid = 194 ssid = >The work in this paper substantially differs from previous work in SMT based on the noisy channel approach presented in (Brown et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1091.txt | Citing Article:  P12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Exceptions where discriminative SMT has been used on large training data are Liang et al. (2006a) who trained 1.5 million features on 67,000 sentences, Blunsom et al. (2008) who trained 7.8 million rules on 100,000 sentences, or Tillmann and Zhang (2006) who used 230,000 sentences for training.</S> | Reference Offset:  ['142','176'] | Reference Text:  <S sid = 142 ssid = >The block set is generated using a phrase-pair selection algorithm similar to (Koehn et al., 2003; Al-Onaizan et al., 2004), which includes some heuristic filtering to mal statement here.</S><S sid = 176 ssid = >The ’SWAP’ re-ordering uses the same features as the monotone models plus additional orientation-based and distortionBLEU on the training data ( sentences) and the MT03 test data (670 sentences). based features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1091.txt | Citing Article:  W07-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tillmann and Zhang (2006) use a BLEU oracle decoder for discriminative training of a local reordering model.</S> | Reference Offset:  ['39','154'] | Reference Text:  <S sid = 39 ssid = >Rather than predicting local block neighbors as in (Tillmann and Zhang, 2005) , here the model parameters are trained in a global setting.</S><S sid = 154 ssid = >This step does not require the use of a decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


