Citance Number: 1 | Reference Article:  P07-1098.txt | Citing Article:  P09-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shallow semantic representations, bearing a more compact information, can prevent the sparseness of deep structural approaches and the weakness of BOW models (Moschitti et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the contrary, shallow semantic representations, bearing a more “compact” information, could prevent the sparseness of deep structural approaches and the weakness of BOW models.</S><S sid = NA ssid = NA>Our experiments with SVMs and the above models suggest that syntactic information helps tasks such as question classification whereas semantic information contained in PAS and PASN gives promising results in answer classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1098.txt | Citing Article:  P08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is a widely held belief in the NLP and computational linguistics communities that identifying and defining roles of predicate arguments in a sentence has a lot of potential for and is a significant step toward improving important applications such as document retrieval, machine translation, question answering and information extraction (Moschitti et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The typical QA system architecture consists of three phases: question processing, document retrieval and answer extraction (Kwok et al., 2001).</S><S sid = NA ssid = NA>Then, each sentence in each document is compared to the question via a blend of similarity metrics used in the answer extraction phase to select the most relevant sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1098.txt | Citing Article:  D08-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shallow semantic representations, bearing a more compact information, could prevent the sparseness of deep structural approaches and the weakness of BOW models (Moschitti et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the contrary, shallow semantic representations, bearing a more “compact” information, could prevent the sparseness of deep structural approaches and the weakness of BOW models.</S><S sid = NA ssid = NA>Our experiments with SVMs and the above models suggest that syntactic information helps tasks such as question classification whereas semantic information contained in PAS and PASN gives promising results in answer classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1098.txt | Citing Article:  D08-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Moschitti et al, 2007) solve this problem by designing the Shallow Semantic Tree Kernel (SSTK) which allows to match portions of a ST.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We solve this problem by designing the Shallow Semantic Tree Kernel (SSTK) which allows to match portions of a PAS.</S><S sid = NA ssid = NA>1, gives the new Shallow Semantic Tree Kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


