Citance Number: 1 | Reference Article:  W11-1901.txt | Citing Article:  W11-1920.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This paper describes our entry to the 2011 CoNLL closed task (Pradhan et al, 2011) on modeling unrestricted coreference in OntoNotes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = NA ssid = NA>This section describes the CoNLL-2011 Coreference task, including its closed and open track versions, and characterizes the data used for the task and how it was prepared.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W11-1901.txt | Citing Article:  P14-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have updated the publicly available CoNLL coreference scorer 1 with the proposed BLANC, and used it to compute the proposed BLANC scores for all the CoNLL 2011 (Pradhan et al, 2011) and 2012 (Pradhan et al, 2012) participant sin the official track, where participants had to automatically predict the mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Very recently BLANC (BiLateral Assessment of NounPhrase Coreference) measure (Recasens and Hovy, 17as is the case in this evaluation with Gold Mentions 2011) has been proposed as well.</S><S sid = NA ssid = NA>The CoNLL-2005 scorer was used to generate the scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W11-1901.txt | Citing Article:  P14-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The proposed BLANC is highly positively correlated with the 1http: //code.google.com/p/reference-coreference-scorers 2 The order is kept the same as in Pradhan et al (2011) and Pradhan et al (2012) for easy comparison.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S><S sid = NA ssid = NA>One of the many goals of the OntoNotes project2 (Hovy et al., 2006; Weischedel et al., 2011) is to explore whether it can fill this void and help push the progress further – not only in coreference, but with the various layers of semantics that it tries to capture.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W11-1901.txt | Citing Article:  P13-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow the CoNLL2011 scheme to select TRAIN, DEV and TEST datasets (Pradhan et al,2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since there are no previously reported numbers on the full version of OntoNotes, we had to create a train/development/test partition.</S><S sid = NA ssid = NA>It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


