Citance Number: 1 | Reference Article:  P05-2008.txt | Citing Article:  P07-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In sentiment analysis research, Read (2005) used emoticons in newsgroup articles to extract instances relevant for training polarity classifiers.</S> | Reference Offset:  ['5','115'] | Reference Text:  <S sid = 5 ssid = >A sub-topic of this research is that of Sentiment Classification.</S><S sid = 115 ssid = >One might suppose that dependency is occurring because classifiers are learning the semantic sentiment of texts rather than the general sentiment of language used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-2008.txt | Citing Article:  E12-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We therefore experiment with multiple such conventions with apparently similar meanings - here, emoticons (following (Read, 2005)) and Twitter hash tags - allowing us to examine the similarity of classifiers trained on independent labels but intended to detect the same underlying class.</S> | Reference Offset:  ['33','98'] | Reference Text:  <S sid = 33 ssid = >Figure 1 shows the results of this experiment.</S><S sid = 98 ssid = >We analysed the change in coverage of the Emoticon-trained classifiers on the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-2008.txt | Citing Article:  W10-3208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The regulating aspects of semantic orientation of a text are natural language context information (Pang et al, 2002) language properties (Wiebe and Mihalcea, 2006), domain pragmatic knowledge (Aue and Gamon, 2005) and lastly most challenging is the time dimension (Read, 2005).</S> | Reference Offset:  ['39','42'] | Reference Text:  <S sid = 39 ssid = >We conducted an experiment to compare the accuracy when training a classifier on one domain (newswire articles or movie reviews from the Polarity 1.0 dataset used by Pang et al. (2002)) and testing on the other domain.</S><S sid = 42 ssid = >To investigate the effect of time on sentiment classification, we constructed a new set of movie reviews, following the same approach used by Pang et al. (2002) when they created the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-2008.txt | Citing Article:  W12-3703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have built a corpus of tweets written in English following the procedure described in (Read, 2005) and (Go et al, 2009).</S> | Reference Offset:  ['45','46'] | Reference Text:  <S sid = 45 ssid = >A review was ignored if it was not written in 2003 or 2004 (ensuring that the review was written after any in the Polarity 1.0 dataset).</S><S sid = 46 ssid = >This procedure yielded a corpus of 716 negative and 2,669 positive reviews.</S> | Discourse Facet:  NA | Annotator: Automatic


