Citance Number: 1 | Reference Article:  I05-3017.txt | Citing Article:  P06-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al, 2005), using CRFs for the IOB tagging, yielded a very high R-oov in all of the four corpora used, but the R-iv rates were lower.</S> | Reference Offset:  ['31','130'] | Reference Text:  <S sid = 31 ssid = >Specific details can be found on the Bakeoff 2005 pages of the SIGHAN website.</S><S sid = 130 ssid = >Also interesting to compare are the OOV recall rates be tween the Open and Closed tracks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  I05-3017.txt | Citing Article:  C10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The experiments of closed tests on the second SIGHAN Bakeoff (Emerson, 2005) show that the joint model significantly outperforms the baseline models of both generative and discriminative approaches.</S> | Reference Offset:  ['90','128'] | Reference Text:  <S sid = 90 ssid = >In closed tests, participants were only allowed to use information found in the training data.</S><S sid = 128 ssid = >As one would expect the best F score on the open tests was higher than the best on the closed tests, 0.972 vs. 0.964, both on the MSR corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  I05-3017.txt | Citing Article:  C10-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The corpora provided by the second SIGHAN Bakeoff (Emerson, 2005) were used in our experiments.</S> | Reference Offset:  ['0','31'] | Reference Text:  <S sid = 0 ssid = >The Second International Chinese Word Segmentation Bakeoff</S><S sid = 31 ssid = >Specific details can be found on the Bakeoff 2005 pages of the SIGHAN website.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  I05-3017.txt | Citing Article:  P12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For more detailed information on the corpora, refer to Emerson (2005).</S> | Reference Offset:  ['52','98'] | Reference Text:  <S sid = 52 ssid = >Corpus Information 124 2005 and allowed to continue through the time the training data was made available on July 11.When a site registered they selected which cor pus or corpora there were interested in using, and whether they would take part in the open or closed tracks (described below.)</S><S sid = 98 ssid = >After the scoring was done the script would mail the detailed results to the participant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  I05-3017.txt | Citing Article:  P07-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Four training and testing corpora were used in the second bakeoff (Emerson, 2005), including the Academia Sinica corpus (AS), the Hong Kong City University Corpus (CU), the Peking University Corpus (PK) and the Microsoft Research Corpus (MR).</S> | Reference Offset:  ['14','21'] | Reference Text:  <S sid = 14 ssid = >The Traditional Chinese corpora were provided by Academia Sinica in Taiwan and the City University of Hong Kong.</S><S sid = 21 ssid = >The Academia Sinica corpus, provided.</S> | Discourse Facet:  NA | Annotator: Automatic


