Citance Number: 1 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000).</S> | Reference Offset:  ['26','40'] | Reference Text:  <S sid = 26 ssid = >We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993), and more recently, had begun using a generative statistical model for name finding (Bikel et al.</S><S sid = 40 ssid = >Further details are discussed in the section Tree Augmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major differences: in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5.</S> | Reference Offset:  ['60','63'] | Reference Text:  <S sid = 60 ssid = >In our statistical model, trees are generated according to a process similar to that described in (Collins 1996, 1997).</S><S sid = 63 ssid = >Head words, along with their part-of-speech tags and features, are generated for each modifier as soon as the modifier is created.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000).</S> | Reference Offset:  ['50','108'] | Reference Text:  <S sid = 50 ssid = >Figure 4 shows an example of the semantic annotation, which was the only type of manual annotation we performed.</S><S sid = 108 ssid = >This simple semantic annotation was the only source of task knowledge used to configure the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level.</S> | Reference Offset:  ['34','38'] | Reference Text:  <S sid = 34 ssid = >In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S><S sid = 38 ssid = >Other labels indicate relations among entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A00-2030.txt | Citing Article:  W01-0510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees.</S> | Reference Offset:  ['35','83'] | Reference Text:  <S sid = 35 ssid = >An example of an augmented parse tree is shown in Figure 3.</S><S sid = 83 ssid = >More precisely, it must find the most likely augmented parse tree.</S> | Discourse Facet:  NA | Annotator: Automatic


