Citance Number: 1 | Reference Article:  P83-1019.txt | Citing Article:  P89-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fidditch is one such deterministic parser, designed to provide a syntactic analysis of text as a tool for locating examples of various linguistically interesting structures (Hindle 1983).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because it is a deterministic parser, it produces only one analysis for each sentence.</S><S sid = NA ssid = NA>Other cases (examples 610 below) are only interpretable given the assumption that certain words, which are potentially part of the syntactic structure, are to be removed from the syntactic analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P83-1019.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hindle (1983) addressed the problem of correcting self repairs by adding rules to a deterministic parser that would remove the necessary text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The copy editing rules remove a constituent, no matter how large, from the view of the parser.</S><S sid = NA ssid = NA>Because it is a deterministic parser, it produces only one analysis for each sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P83-1019.txt | Citing Article:  C00-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Tony Kroch, Mitch Marcus, and Ken Church for helpful comments on this work.</S><S sid = NA ssid = NA>Although the self-corrected string is edited from the syntactic analysis, it is nevertheless available for semantic interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P83-1019.txt | Citing Article:  C00-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Example: I think that you get - it is more strict in Catholic schools. (Hindle 1983).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, in (7), the underlined strings are expunged before parsing begins.</S><S sid = NA ssid = NA>For example, in sentence (1), the speaker initially said / but meant we.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P83-1019.txt | Citing Article:  P99-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hindle, 1983) and (Bear et al., 1992) performed speech repair identification in their parsers, and removed the corrected material (reparandum) from consideration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Self-corrected strings can be viewed formally as having extra material inserted, but not involving either deletion or replacement of material.</S><S sid = NA ssid = NA>The status of the material that is corrected by selfcorrection and is expunged by the editing rules is somewhat odd.</S> | Discourse Facet:  NA | Annotator: Automatic


