Citance Number: 1 | Reference Article:  W97-0209.txt | Citing Article:  W98-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >WSD that use information gathered from raw corpora (unsupervised training methods) (Yarowsky 1995) (Resnik 1997).</S> | Reference Offset:  ['88','92'] | Reference Text:  <S sid = 88 ssid = >In other work, Yarowsky (1993) has shown that local collocational information, including selectional constraints, can be used to great effect in sense disambiguation, though his algorithm requires supervised training.</S><S sid = 92 ssid = >More important is information beyond selectional preference, notably the wider context utilized by Yarowsky (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0209.txt | Citing Article:  E12-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work on selectional preferences has used them primarily for natural language analytic tasks such as word sense disambiguation (Resnik, 1997), dependency parsing (Zhou et al 2011), and semantic role labeling (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['0','55'] | Reference Text:  <S sid = 0 ssid = >Selectional Preference And Sense Disambiguation</S><S sid = 55 ssid = >Following Miller et al. (1994), disambiguation by random choice was used as a baseline: if a noun has one sense, use it; otherwise select at random among its senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0209.txt | Citing Article:  C00-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >I followed (Resnik, 1993)/ (Resnik, 1997) who defined selectional preference as the amount of information a verb provides about its semantic argument classes.</S> | Reference Offset:  ['19','23'] | Reference Text:  <S sid = 19 ssid = >The model defines the selectional preference strength of a predicate as: Intuitively, SR(p) measures how much information, in bits, predicate p provides about the conceptual class of its argument.</S><S sid = 23 ssid = >Formally, selectional association is defined as: This model of selectional preference has turned out to make reasonable predictions about human judgments of argument plausibility obtained by psycholinguistic methods (Resnik, 1993a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0209.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The annotation of word senses such as used by machine-learning based word sense disambiguation (WSD) tools corresponds to the task of selecting the correct semantic class or concept for a word from an underlying ontology such as WordNet (Resnik, 1997).</S> | Reference Offset:  ['3','38'] | Reference Text:  <S sid = 3 ssid = >It has long been observed that selectional constraints and word sense disambiguation are closely linked.</S><S sid = 38 ssid = >Thus, despite the absence of class annotation in the training text, it is still possible to arrive at a usable estimate of class-based probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


