Citance Number: 1 | Reference Article:  P99-1065.txt | Citing Article:  W00-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P99-1065.txt | Citing Article:  W00-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It might also be possible to exploit the internal structure of the POS tags, for example through incremental prediction of the POS tag being generated; or to exploit the use of word lemmas, effectively splitting word—word relations into syntactic dependencies (POS tag—POS tag relations) and more semantic (lemma—lemma) dependencies.</S><S sid = NA ssid = NA>The model of (Collins 97) had conditioning variables that allowed the model to learn a preference for dependencies which do not cross verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P99-1065.txt | Citing Article:  P13-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins et al (1999) used transformed constituency tree bank from Prague Dependency Treebank for constituent parsing on Czech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Prague Dependency Treebank PDT (Hap, 1998) has been modeled after the Penn Treebank (Marcus et al. 93), with one important exception: following the Praguian linguistic tradition, the syntactic annotation is based on dependencies rather than phrase structures.</S><S sid = NA ssid = NA>The Czech PDT contains dependency annotations, but no tree structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P99-1065.txt | Citing Article:  P05-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is consistent with the findings of Collins et al (1999) for Czech, where the bigram model upped dependency accuracy by about 0.9%, as well as for English where Charniak (2000) reports an increase in F-score of approximately 0.3%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many statistical parsing methods developed for English use lexicalized trees as a representation (e.g., (Jelinek et al. 94; Magerman 95; Ratnaparkhi 97; Charniak 97; Collins 96; Collins 97)); several (e.g., (Eisner 96; Collins 96; Collins 97; Charniak 97)) emphasize the use of parameters associated with dependencies between pairs of words.</S><S sid = NA ssid = NA>We ran three versions of the parser over the final test set: the baseline version, the full model with all additions, and the full model with everything but the bigram model.</S> | Discourse Facet:  NA | Annotator: Automatic


