Citance Number: 1 | Reference Article:  P10-1146.txt | Citing Article:  D10-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chiang (2010) also obtained significant improvement over his hierarchical baseline by using syntactic parse trees on both source and target sides to induce fuzzy (not exact) tree-to-tree rules and by also allowing syntactically mismatched substitutions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>But with fuzzy tree-to-tree extraction, we obtained an improvement of +0.6 on both Chinese-English sets, and +0.7/+0.8 on the ArabicEnglish sets.</S><S sid = NA ssid = NA>Using exact tree-to-tree extraction, we got a much smaller grammar, but decreased accuracy on all but the Chinese-English test set, where there was no significant change.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P10-1146.txt | Citing Article:  D10-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chiang (2010) also avoided hard constraints and took a soft alternative that directly models the cost of mismatched rule substitutions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, Table 4 shows that the system using the tree-to-tree grammar used the glue rule much less and performed more matching substitutions.</S><S sid = NA ssid = NA>We then took a closer look at the behavior of the string-to-string and fuzzy tree-to-tree grammars (without the nesting heuristic).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P10-1146.txt | Citing Article:  W11-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The label “entity” stands for handwritten rules for named entities and numbers.</S><S sid = NA ssid = NA>Fuzzy tree-to-tree extraction (like string-to-string extraction) generates many times more rules than exact tree-to-tree extraction does.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P10-1146.txt | Citing Article:  W11-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SAMT extension with source and target-side syntax described by Chiang (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning to Translate with Source and Target Syntax</S><S sid = NA ssid = NA>In this paper, we explore the reasons why treeto-tree translation has been challenging, and how source syntax and target syntax might be used together.</S> | Discourse Facet:  NA | Annotator: Automatic


