Citance Number: 1 | Reference Article:  W02-0817.txt | Citing Article:  W04-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sense annotated corpus required for this task was built using the Open Mind Word Expert system (Chklovski and Mihalcea, 2002), adapted to Romanian.</S> | Reference Offset:  ['0','138'] | Reference Text:  <S sid = 0 ssid = >Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = 138 ssid = >For each word with sense tagged data created with Open Mind Word Expert, a test corpus will be built by trained human taggers, starting with examples extracted from the corpus mentioned in Section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-0817.txt | Citing Article:  P10-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The use of collaborative contributions from volunteers has been previously shown to be beneficial in the Open Mind Word Expert project (Chklovski and Mihalcea, 2002).</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = 13 ssid = >Open Mind Word Expert is a newly born project that follows the Open Mind initiative (Stork, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-0817.txt | Citing Article:  W04-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Volunteer Contributions over the Web The sense annotated corpus required for this task was built using the Open Mind Word Expert system (Chklovski and Mihalcea, 2002).</S> | Reference Offset:  ['0','138'] | Reference Text:  <S sid = 0 ssid = >Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = 138 ssid = >For each word with sense tagged data created with Open Mind Word Expert, a test corpus will be built by trained human taggers, starting with examples extracted from the corpus mentioned in Section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-0817.txt | Citing Article:  W07-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to the expensive annotation process, only a handful of manually sense-tagged corpora are available. An effort to alleviate the training data bottle neck is the Open Mind Word Expert (OMWE) project (Chklovski and Mihalcea, 2002) to collect sense-tagged data from Internet users.</S> | Reference Offset:  ['0','9'] | Reference Text:  <S sid = 0 ssid = >Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = 9 ssid = >The tagging process is usually done by trained lexicographers, and consequently is quite expensive, limiting the size of such corpora to a handful of tagged texts.</S> | Discourse Facet:  NA | Annotator: Automatic


