Citance Number: 1 | Reference Article:  W00-1401.txt | Citing Article:  P01-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Su et al (1992), Alshawi et al (1998) and Bangalore et al (2000) employ string edit distance between reference and output sentences to gauge output quality for MT and generation.</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid = 51 ssid = >This metric has also been used to measure accuracy of MT systems (Alshawi et al., 1998).</S><S sid = 52 ssid = >It is based on string edit distance between the output of the generation system and the reference corpus string.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-1401.txt | Citing Article:  W05-1604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More on these and other metrics can be found in [Bangalore et al, 2000].</S> | Reference Offset:  ['51','87'] | Reference Text:  <S sid = 51 ssid = >This metric has also been used to measure accuracy of MT systems (Alshawi et al., 1998).</S><S sid = 87 ssid = >(For a more detailed comparisons of different tree models, see (Bangalore and Rainbow, 2000).)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-1401.txt | Citing Article:  W05-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Common evaluation techniques for NLG systems [Mellish and Dale, 1998] include: Showing generated texts to users, and measuring how effective they are at achieving their goal, compared to some control text (for example, [Young, 1999]); Asking experts to rate computer-generated texts in various ways, and comparing this to their rating of manually authored texts (for example, [Lester and Porter, 1997]); Automatically comparing generated texts to a corpus of human authored texts (for example, [Bangalore et al 2000]).</S> | Reference Offset:  ['59','70'] | Reference Text:  <S sid = 59 ssid = >Consider the following example.</S><S sid = 70 ssid = >In our example sentence (2), we see that the insertion and deletion of no can be collapsed into one move.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-1401.txt | Citing Article:  W06-1422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first comparison of NLG evaluation techniques which we are aware of is by Bangalore et al (2000).</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >Evaluation Metrics For Generation</S><S sid = 14 ssid = >To our knowledge, the first to use stochastic techniques in an NLG realization module were Langkilde and Knight (1998a) and (1998b) (see also (Langkilde, 2000)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W00-1401.txt | Citing Article:  W04-2302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bangalore et al describe some of the quantitative measures that have been used in (Bangalore et al, 2000).</S> | Reference Offset:  ['51','113'] | Reference Text:  <S sid = 51 ssid = >This metric has also been used to measure accuracy of MT systems (Alshawi et al., 1998).</S><S sid = 113 ssid = >.We conducted a series of linear regressions with normalized judgments of understanding and quality as the dependent measures and as independent measures different combinations of one of our four metrics with sentence length, and with the &quot;problem&quot; variables that we used to define the string metrics (S, I, D, Al, , D' - see Section 3 for definitions).</S> | Discourse Facet:  NA | Annotator: Automatic


