Citance Number: 1 | Reference Article:  N01-1006.txt | Citing Article:  W02-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For English and Swedish, for which POS-tagged training data was available to us, the fnTBL algorithm (Ngai and Florian, 2001) based on Brill (1995) was used to annotate the data, while for Spanish a mildly-supervised POS-tagging system similar to the one presented in Cucerzan and Yarowsky (2000) was employed.</S> | Reference Offset:  ['10','110'] | Reference Text:  <S sid = 10 ssid = >Transformation-based learning (TBL) (Brill, 1995) is one of the most successful rule-based machine learning algorithms.</S><S sid = 110 ssid = >Also present in Table 1 are the results of training Brill's tagger on the same data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1006.txt | Citing Article:  W03-0433.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The experiments presented in this paper were performed using the fnTBL toolkit (Ngai and Florian, 2001), which implements several optimizations in rule learning to drastically speed up the time needed for training.</S> | Reference Offset:  ['43','67'] | Reference Text:  <S sid = 43 ssid = >The experiments presented in Section 4 include ICA in the training time and performance comparisons�.</S><S sid = 67 ssid = >In this case, the formula (5) is transformed into: (again, the full derivation is presented in Florian and Ngai (2001)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1006.txt | Citing Article:  W03-0433.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We replaced the English part-of-speech tags with those generated by a transformation-based learner (Ngai and Florian, 2001).</S> | Reference Offset:  ['15','133'] | Reference Text:  <S sid = 15 ssid = >This disadvantage is further exacerbated when the transformation-based learner is used as the base learner in learning algorithms such as boosting or active learning, both of which require multiple iterations of estimation and application of the base learner.</S><S sid = 133 ssid = >The following table shows the above sentence with the assigned chunk tags: and the part-of-speech tags were generated by Brill's tagger (Brill, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1006.txt | Citing Article:  W04-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A TB Lchunker trained on Wall Street Journal corpus (Ngai and Florian, 2001) maps each word to an associated chunk tag, encoding chunk type and relative word position (beginning of an NP, inside a VP, etc.).</S> | Reference Offset:  ['104','132'] | Reference Text:  <S sid = 104 ssid = >The data used in the experiment was selected from the Penn Treebank Wall Street Journal, and is the same used by Brill and Wu (1998).</S><S sid = 132 ssid = >Following Ramshaw & Marcus' (1999) work in base noun phrase chunking, each word is assigned a chunk tag corresponding to the phrase to which it belongs .</S> | Discourse Facet:  NA | Annotator: Automatic


