Citance Number: 1 | Reference Article:  P08-1102.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Jiang et al (2008), we describe segmentation and Joint S&T as below: For a given Chinese sentence appearing as a character sequence: C 1: n= C 1 C 2.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >To segment and tag a character sequence, there are two strategies to choose: performing POS tagging following segmentation; or joint segmentation and POS tagging (Joint S&T).</S><S sid = 22 ssid = >2 Segmentation and POS Tagging Given a Chinese character sequence: while the segmentation and POS tagging result can be depicted as: Here, Ci (i = L.n) denotes Chinese character, ti (i = L.m) denotes POS tag, and Cl:r (l < r) denotes character sequence ranges from Cl to Cr.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1102.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As described in Ng and Low (2004) and Jiang et al (2008), we use s indicating a single character word, while b, m and e indicating the begin, middle and end of a word respectively.</S> | Reference Offset:  ['25','34'] | Reference Text:  <S sid = 25 ssid = >According to Ng and Low (2004), the segmentation task can be transformed to a tagging problem by assigning each character a boundary tag of the following four types: We can extract segmentation result by splitting the labelled result into subsequences of pattern s or bm*e which denote single-character word and multicharacter word respectively.</S><S sid = 34 ssid = >The feature templates we adopted are selected from those of Ng and Low (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1102.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Templates called lexical-target in the column below are introduced by Jiang et al (2008).</S> | Reference Offset:  ['38','42'] | Reference Text:  <S sid = 38 ssid = >Templates immediately borrowed from Ng and Low (2004) are listed in the upper column named non-lexical-target.</S><S sid = 42 ssid = >As predications generated from such templates depend on the current character, we name these templates lexical-target.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1102.txt | Citing Article:  P12-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For CTB-5, we refer to the split by Duan et al (2007) as CTB-5d, and to the split by Jiang et al (2008) as CTB-5j.</S> | Reference Offset:  ['103','110'] | Reference Text:  <S sid = 103 ssid = >We turned to experiments on CTB 5.0 to test the performance of the cascaded model.</S><S sid = 110 ssid = >Similar trend appeared in experiments of Ng and Low (2004), where they conducted experiments on CTB 3.0 and achieved Fmeasure 0.919 on Joint S&T, a ratio of 96% to the F-measure 0.952 on segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


