Citance Number: 1 | Reference Article:  W97-0802.txt | Citing Article:  A00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our initial experiments with the integration of GermaNet (Hamp and Feldweg, 1997), the evolving German version of WordNet, seem to confirm the positive results described for WordNet (de Buenaga Rodriguez et al, 1997) and will thus be extended.</S> | Reference Offset:  ['7','140'] | Reference Text:  <S sid = 7 ssid = >The basic framework of GermaNet is similar to the Princeton WordNet (Miller et al., 1993), guaranteeing maximal compatibility.</S><S sid = 140 ssid = >A wordnet for German has been described which, compared with the Princeton WordNet, integrates principle-based modifications and extensions on the constructional and organizational level as well as on the level of lexical and conceptual relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0802.txt | Citing Article:  P14-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To divide adjectives into groups, Tsvetkov et al (2014) use 13 top-level classes from the adapted taxonomy of Hundsnurscher and Splett (1982), which is incorporated in GermaNet (Hamp and Feldweg, 1997).</S> | Reference Offset:  ['7','116'] | Reference Text:  <S sid = 7 ssid = >The basic framework of GermaNet is similar to the Princeton WordNet (Miller et al., 1993), guaranteeing maximal compatibility.</S><S sid = 116 ssid = >The taxonomical classes follow (Hundsnurscher and Splett, 1982) with an additional class for pertainym83.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0802.txt | Citing Article:  W12-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synonyms in GermaNet (Hamp and Feldweg, 1997) receive the score 1.</S> | Reference Offset:  ['100','102'] | Reference Text:  <S sid = 100 ssid = >GermaNet lists synonyms along with each concept.</S><S sid = 102 ssid = >This is only possible if all synonyms of both senses and all their dependent nodes in the hierarchy share the same regular polysemy, which is hardly ever the case.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0802.txt | Citing Article:  P02-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >GermaNet (Hamp and Feldweg, 1997) is a large lexical database, where words are associated with POS in formation and semantic sorts, which are organized in a fine-grained hierarchy.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >GermaNet - A Lexical-Semantic Net For German</S><S sid = 6 ssid = >It can be thought of as an online ontology in which meanings associated with words (so-called synsets) are grouped according to their semantic relatedness.</S> | Discourse Facet:  NA | Annotator: Automatic


