Citance Number: 1 | Reference Article:  J03-4004.txt | Citing Article:  P07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (WSD) (McCarthy and Carroll, 2003) and semantic role labeling (SRL) (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-4004.txt | Citing Article:  P14-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such models have engendered improvements in diverse applications such as selectional preference modeling (Erk, 2007), word-sense discrimination (McCarthy and Carroll, 2003), automatic dictionary building (Curran, 2003), and information retrieval (Manning et al, 2008).</S> | Reference Offset:  ['13','170'] | Reference Text:  <S sid = 13 ssid = >Although selectional preferences are a possible knowledge source in an automatic word sense disambiguation (WDS) system, they are not a panacea.</S><S sid = 170 ssid = >We do not use any first-sense information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-4004.txt | Citing Article:  N10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Selectional preferences do not only play an important role in human sentence processing (McRae et al, 1998), but are also helpful for NLP tasks like word sense disambiguation (McCarthy and Carroll, 2003) and semantic role labeling (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-4004.txt | Citing Article:  D08-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Attention has mostly been limited to selectional preferences of verbs, which have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (McCarthy and Carroll, 2003) and semantic role labeling (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic


