Citance Number: 1 | Reference Article:  J04-2003.txt | Citing Article:  H05-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, Niessen and Ney (2004) decompose German words into a hierarchical representation using lemmas and morphological tags, and use a MaxEnt model to combine the different levels of representation in the translation model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The vocabulary of the new representation of the German part of the Verbmobil corpus, for example, in which full word forms are replaced by base form plus morphological and syntactic tags (lemmatag representation), is one and a half times as large as the vocabulary of the original corpus.</S><S sid = NA ssid = NA>To enable the application of the hierarchical lexicon model, the source language input sentences in test have to be analyzed and annotated with their lemma-tag representation before the actual translation process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J04-2003.txt | Citing Article:  P06-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is, however, a large body of work using morphological analysis to define cluster-based translation models similar to ours but in a supervised manner (Zens and Ney, 2004), (Niessen and Ney, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is exactly what has been done to define the intermediate level in Section 4.2.</S><S sid = NA ssid = NA>For testing we used the alignment template translation system, described in Och, Tillmann, and Ney (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J04-2003.txt | Citing Article:  P10-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Niessen and Ney (2004) used morphological decomposition to get better alignments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Conventional dictionaries are often used as additional evidence to better train the model parameters in statistical machine translation.</S><S sid = NA ssid = NA>The information described in this section is used to improve the quality of statistical machine translation and to better exploit the available bilingual resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J04-2003.txt | Citing Article:  W06-3102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Special thanks to Alon Lavie, Lori Levin, Stephan Vogel, and Alex Waibel (in alphabetical order).</S><S sid = NA ssid = NA>In English questions supporting dos are removed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J04-2003.txt | Citing Article:  W09-0420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Special thanks to Alon Lavie, Lori Levin, Stephan Vogel, and Alex Waibel (in alphabetical order).</S><S sid = NA ssid = NA>In English questions supporting dos are removed.</S> | Discourse Facet:  NA | Annotator: Automatic


