Citance Number: 1 | Reference Article:  W97-0311.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (1997b), however, proposes a method for the recognition of multi word compounds in bi texts that is based on the predictive value of a translation model.</S> | Reference Offset:  ['17','63'] | Reference Text:  <S sid = 17 ssid = >The method is based on the insight that treatment of NCCs as multiple words reduces the predictive power of translation models.</S><S sid = 63 ssid = >Comparison of predictive value functions across translation models can only be done under Let i and i' be the predictive value functions for source words in the base translation model and in the trial translation model, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-0311.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','217'] | Reference Text:  <S sid = 68 ssid = >The mutual exclusion condition implies that multiple tests must be performed to find the majority of NCCs in a given text.</S><S sid = 217 ssid = >2 wrongful conviction erreur judiciaire 2 weak sister parent pauvre 2 of both the users and providers of transportation des utilisateurs et des transporteurs 2 understand the motivation saisir le motif 2 swimming pool piscine 2 ship unprocessed uranium expedier de l'uranium non raffine 2 by reason of insanity pour cause d'alienation mentale 2 l'agence de Presse libre du Québec l'agence de Presse libre du Québec 2 do cold weather research etudier l'effet du froid 2 the bread basket of the nation le grenier du Canada 2 turn back the boatload of European Jews renvoyer tout ces juifs europeens 2 Generic Pharmaceutical Industry Association Generic Pharmaceutical Industry Association</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-0311.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','217'] | Reference Text:  <S sid = 68 ssid = >The mutual exclusion condition implies that multiple tests must be performed to find the majority of NCCs in a given text.</S><S sid = 217 ssid = >2 wrongful conviction erreur judiciaire 2 weak sister parent pauvre 2 of both the users and providers of transportation des utilisateurs et des transporteurs 2 understand the motivation saisir le motif 2 swimming pool piscine 2 ship unprocessed uranium expedier de l'uranium non raffine 2 by reason of insanity pour cause d'alienation mentale 2 l'agence de Presse libre du Québec l'agence de Presse libre du Québec 2 do cold weather research etudier l'effet du froid 2 the bread basket of the nation le grenier du Canada 2 turn back the boatload of European Jews renvoyer tout ces juifs europeens 2 Generic Pharmaceutical Industry Association Generic Pharmaceutical Industry Association</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-0311.txt | Citing Article:  W03-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we develop a new scoring criterion, based on Melamed (1997).</S> | Reference Offset:  ['35','127'] | Reference Text:  <S sid = 35 ssid = >A translation model can be constructed automatically from texts that exist in two languages (bitexts) (Brown et al., 1993; Melamed, 1997).</S><S sid = 127 ssid = >All translation models were induced using the method of Melamed (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


