Citance Number: 1 | Reference Article:  W00-1303.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The number of votes for the class obtained through the pairwise voting is used as the certain score for beam search with width 5 (Kudo and Matsumoto, 2000a).</S> | Reference Offset:  ['93','128'] | Reference Text:  <S sid = 93 ssid = >Table 2 shows the result of passing accuracy under the condition k = 5 (beam width), and d = 3 (dimension of the polynomial functions used for the kernel function).</S><S sid = 128 ssid = >We evaluate the relationship between the beam width and the parsing accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-1303.txt | Citing Article:  N01-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the CoNLL-2000 shared task, we achieved the accuracy of 93.48 using IOB2-F representation (Kudo and Matsumoto, 2000b).</S> | Reference Offset:  ['130','142'] | Reference Text:  <S sid = 130 ssid = >The best parsing accuracy is achieved at k = 5 and the best sentence accuracy is achieved at k = 5 and k = 7.</S><S sid = 142 ssid = >In our experiments, the accuracy of 89.09% is achieved using same training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-1303.txt | Citing Article:  P10-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kudo and Matsumoto (2002) compare cascaded chunking with the CYK method (Kudo and Matsumoto, 2000).</S> | Reference Offset:  ['57','113'] | Reference Text:  <S sid = 57 ssid = >Generally, the optimal solution Db„t can be identified by using bottom-up algorithm such as CYK algorithm.</S><S sid = 113 ssid = >However, the SVMs method achieve a high accuracy not only on the training data but also on the test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-1303.txt | Citing Article:  I05-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['52','168'] | Reference Text:  <S sid = 52 ssid = >— 1)} by D, where Dep(i) = j means that the chunk bi depends on (modifies) the chunk bi.</S><S sid = 168 ssid = >The result shows that Japanese dependency analysis can be effectively performed by use of SVMs due to its good generalization and nonoverfitting characteristics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W00-1303.txt | Citing Article:  W02-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kudo and Matsumoto (2000) used the sigmoid function to obtain pseudo probabilities in SVMs.</S> | Reference Offset:  ['56','81'] | Reference Text:  <S sid = 56 ssid = >We obtain Db„t taking into all the combination of these probabilities.</S><S sid = 81 ssid = >For the kernel function, we used the polynomial function (9).</S> | Discourse Facet:  NA | Annotator: Automatic


