Citance Number: 1 | Reference Article:  C00-2136.txt | Citing Article:  W01-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the one hand machine learning is used to automate as much as possible the tasks an IE expert would perform in application development (Cardie 1997) (Yangarber et al 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parser is used ibr reducing each clause or noun phrase to a tuple, consisting of the central ar- guments, ms described in detail in (Yangarber et al, 2000).</S><S sid = NA ssid = NA>These dit\[iculties have stimulate.d resear('h on 1)attel . 'n a ( : ( lu i s i t ion . So lne o f th i s work has en l - i)hasized il\]teractive tools to (:onvert examples to extractioi~ t)atterlls (Yangarber and Grish- man, 1997); nmch ot:' the re, search has focused on methods for automatically converting a cortms annotated with extraction examples into pat- terns (Lehnert et al, 1992; Fisher et al, 1995; Miller el; al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C00-2136.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>learned, otherwise go to step 4 Previous algorithms which use this approach include those described by Yangarber et al (2000) and Stevenson and Greenwood (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parser is used ibr reducing each clause or noun phrase to a tuple, consisting of the central ar- guments, ms described in detail in (Yangarber et al, 2000).</S><S sid = NA ssid = NA>I/,epeat the procedure (from step 1) until some iteration limit is reached, or no more patterns can be added.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C00-2136.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The extraction patterns used by both Yangarber et al (2000) and Stevenson and Greenwood (2005) were based on SVO tuples extracted from dependency trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parser is used ibr reducing each clause or noun phrase to a tuple, consisting of the central ar- guments, ms described in detail in (Yangarber et al, 2000).</S><S sid = NA ssid = NA>These dit\[iculties have stimulate.d resear('h on 1)attel . 'n a ( : ( lu i s i t ion . So lne o f th i s work has en l - i)hasized il\]teractive tools to (:onvert examples to extractioi~ t)atterlls (Yangarber and Grish- man, 1997); nmch ot:' the re, search has focused on methods for automatically converting a cortms annotated with extraction examples into pat- terns (Lehnert et al, 1992; Fisher et al, 1995; Miller el; al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C00-2136.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yangarber et al (2000) suggested a method where patterns were compared based on their distribution across documents in a corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, the review and augmenta- tion process took little time, as compared to the manual corpus analysis and development of the pattern base.</S><S sid = NA ssid = NA>split of the corpus into relevant and non- relevant documents.</S> | Discourse Facet:  NA | Annotator: Automatic


