Citance Number: 1 | Reference Article:  J91-4003.txt | Citing Article:  W91-0206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['134','430'] | Reference Text:  <S sid = 134 ssid = >What exactly would a method for lexical decomposition give us?</S><S sid = 430 ssid = >I would like to thank the following for comments on earlier drafts of this paper: Peter Anick, Sabine Bergler, Bran Boguraev, Ted Briscoe, Noam Chomsky, Bob Ingria, George Miller, Sergei Nirenburg, and Rich Thomason.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J91-4003.txt | Citing Article:  W91-0206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of Pustejovsky [Pustejovsky, 1991] is related in its attempt o reduce the size and complexity of individual lexical entries.</S> | Reference Offset:  ['205','391'] | Reference Text:  <S sid = 205 ssid = >For a full discussion, see Pustejovsky (1988, 1991).</S><S sid = 391 ssid = >Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J91-4003.txt | Citing Article:  D12-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our view of relations in a concept network being the interpretations of metonymies is strongly reminiscent of older work in metonymy resolution such as Hobbs et al1993), Fass (1991), Markert and Hahn (2002) or the use of a generative lexicon and its relations in Pustejovsky (1991), which also are unsupervised.</S> | Reference Offset:  ['0','391'] | Reference Text:  <S sid = 0 ssid = >The Generative Lexicon</S><S sid = 391 ssid = >Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J91-4003.txt | Citing Article:  C08-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The term quale (plural :qualia) is borrowed from Pustejovsky (1991).</S> | Reference Offset:  ['270','391'] | Reference Text:  <S sid = 270 ssid = >Pustejovsky 1989a), where the verb has coerced the meaning of a term phrase into a different semantic type.</S><S sid = 391 ssid = >Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J91-4003.txt | Citing Article:  W06-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To provide semantics for nouns, we use CoreLex (Buitelaar, 1998), in turn based on the generative lexicon (Pustejovsky, 1991).</S> | Reference Offset:  ['0','391'] | Reference Text:  <S sid = 0 ssid = >The Generative Lexicon</S><S sid = 391 ssid = >Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


