Citance Number: 1 | Reference Article:  P07-1073.txt | Citing Article:  P08-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this section, we show that many relationships are consistently expressed using a compact set of relation-independent lexico-syntactic patterns, and quantify their frequency based on a sample of 500 sentences selected at random from an IE training corpus developed by (Bunescu and Mooney, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The training bags consist of sentences extracted from online documents, using the methodology described in Section 6.</S><S sid = NA ssid = NA>Therefore, for the initial experiments, we used a modified version of the subsequence kernel of Bunescu and Mooney (2006), which does not require syntactic information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1073.txt | Citing Article:  P08-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first two datasets were collected from the Web, and made available by Bunescu and Mooney (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have presented a new approach to relation extraction that leverages the vast amount of information available on the web.</S><S sid = NA ssid = NA>Therefore, for the initial experiments, we used a modified version of the subsequence kernel of Bunescu and Mooney (2006), which does not require syntactic information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1073.txt | Citing Article:  P14-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To resolve this problem, Bunescu and Mooney (2007), Riedel et al (2010) and Yao et al (2010) relaxed the DS assumption to the at least-one assumption and employed multi-instance learning techniques to identify wrongly labeled instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>MIL was originally introduced to solve a problem in biochemistry (Dietterich et al., 1997); however, it has since been applied to problems in other areas such as classifying image regions in computer vision (Zhang et al., 2002), and text categorization (Andrews et al., 2003; Ray and Craven, 2005).</S><S sid = NA ssid = NA>Gartner et al. (2002) adapted SVMs to the MIL setting using various multi-instance kernels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1073.txt | Citing Article:  D12-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Such data sets have been utilized successfully for relation extraction from the web (Bunescu and Mooney, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An interesting potential application of our approach is a web relation-extraction system similar to Google Sets, in which the user provides only a handful of pairs of entities known to exhibit or not to exhibit a particular relation, and the system is used to find other pairs of entities exhibiting the same relation.</S><S sid = NA ssid = NA>Using a limited set of entity pairs (e.g. those in Table 1) and their associated bags as training data, the aim is to induce a relation extraction system that can reliably decide whether two entities mentioned in the same sentence exhibit the target relationship or not.</S> | Discourse Facet:  NA | Annotator: Automatic


