Citance Number: 1 | Reference Article:  P02-1022.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Perspective GATE (Cunningham et al, 2002a) is an architecture, a framework and a development environment for human language technology modules and applications.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GATE: A Framework And Graphical Development Environment For Robust NLP Tools And Applications</S><S sid = NA ssid = NA>3 Applications One of GATE's strengths is that it is flexible and robust enough to enable the development of a wide range of applications within its framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1022.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The GATE API (Application Programming Interface) is fully documented in Javadoc and also examples are given in the comprehensive User Guide (Cunningham et al, 2002b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Applications developed within GATE can be deployed outside its Graphical User Interface (GUI), using programmatic access via the GATE API (see http: //gat e . ac .uk).</S><S sid = NA ssid = NA>When the application is run, the modules will be executed in the specified order on the given document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1022.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>JAPE is a version of CPSL (Common Pattern Specification Language) (Appelt, 1996) and is used to describe patterns to match and annotations to be created as a result (for further details see (Cunningham et al, 2002b)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>JAPE is a version of CPSL (Common Pattern Specification Language) (Appelt, 1996), which provides finite state transduction over annotations based on regular expressions.</S><S sid = NA ssid = NA>JAPE is a version of CPSL (Common Pattern Specification Language) (Appelt, 1996), which provides finite state transduction over annotations based on regular expressions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1022.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also extending the system to handle language generation modules, in order to enable the construction of applications which require language production in addition to analysis, e.g. intelligent report generation from IE data.</S><S sid = NA ssid = NA>Comparing the latest set with the reference set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1022.txt | Citing Article:  W12-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The automatic alignments have then been manually corrected through a graphical editing tool within the GATE framework (Cunningham et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GATE: A Framework And Graphical Development Environment For Robust NLP Tools And Applications</S><S sid = NA ssid = NA>The annotation can be done manually by the user or semi-automatically by running some processing resources over the corpus and then correcting/adding new annotations manually.</S> | Discourse Facet:  NA | Annotator: Automatic


