Citance Number: 1 | Reference Article:  D09-1026.txt | Citing Article:  N10-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, one interesting result came from extending the feature space with topics derived from Latent Dirichlet Allocation (LDA) using similar methods to Ramage et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This introduces a topic model that constrains Latent Dirichlet Allocation by defining a one-to-one correspondence between LDA’s latent topics and user tags.</S><S sid = NA ssid = NA>Like Latent Dirichlet Allocation, Labeled LDA models each document as a mixture of underlying topics and generates each word from one topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1026.txt | Citing Article:  P14-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This project was supported in part by the President of Stanford University through the IRiSS Initiatives Assessment project.</S><S sid = NA ssid = NA>The derivation of the algorithm so far has focused on its relationship to LDA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1026.txt | Citing Article:  D12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This project was supported in part by the President of Stanford University through the IRiSS Initiatives Assessment project.</S><S sid = NA ssid = NA>The derivation of the algorithm so far has focused on its relationship to LDA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1026.txt | Citing Article:  D12-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Labeled LDA (LLDA) (Ramage et al 2009a) can be used to solve this problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many modern approaches incorporate label correlations (e.g., Kazawa et al. (2004), Ji et al.</S><S sid = NA ssid = NA>By themselves, most words used here have a higher probability in programming than in design.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1026.txt | Citing Article:  P13-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Modeling Tweets in a Latent Space: Ramage et al (2010) also use hash tags to improve the latent representation of tweets in a LDA framework, Labeled-LDA (Ramage et al, 2009), treating each hashtag as a label.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This introduces a topic model that constrains Latent Dirichlet Allocation by defining a one-to-one correspondence between LDA’s latent topics and user tags.</S><S sid = NA ssid = NA>Many modern approaches incorporate label correlations (e.g., Kazawa et al. (2004), Ji et al.</S> | Discourse Facet:  NA | Annotator: Automatic


