Citance Number: 1 | Reference Article:  N01-1026.txt | Citing Article:  W03-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Yarowsky and Ngai, 2001) aim at pos tagging a target language corpus using English pos tags as well as estimation of lexical priors.</S> | Reference Offset:  ['39','41'] | Reference Text:  <S sid = 39 ssid = >Section 4.2.2 will discuss the estimation of P(tilti-i)• The following section describes the estimation of P(tiiwi), which using Bayes rule and direct (relatively noise-free) measurement of P(w) from the French data, can be used to calculate P(wiiti) as: Inspection of the raw projected tag data shows the need for an improved estimation of P(t1w).</S><S sid = 41 ssid = >NNS(,), Table 1 shows the observed frequency distributions of English tags projected onto four French words from 1-to-1 alignments, for the core N/V/J/R/I POS tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1026.txt | Citing Article:  W03-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Having said this, we follow in principle the algorithm proposed by (Yarowsky and Ngai, 2001) to estimate lexical priors.</S> | Reference Offset:  ['54','59'] | Reference Text:  <S sid = 54 ssid = >The major reason for estimating the lexical priors and tag sequence model separately is that a tag sequence bigram (or even trigram) model has far fewer parameters than the lexical prior model and thus can be estimated on a very conservatively chosen set of filtered, high confidence alignment data.</S><S sid = 59 ssid = >After the lexical prior models have been trained (as above), sentences are also tested to identify those where the directly projected tag sequence (from the automatic alignments) is closely compatible with the estimated lexical prior probabilities for each word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1026.txt | Citing Article:  W03-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as was noted by (Yarowsky and Ngai, 2001), most words tend to have at most two pos.</S> | Reference Offset:  ['41','52'] | Reference Text:  <S sid = 41 ssid = >NNS(,), Table 1 shows the observed frequency distributions of English tags projected onto four French words from 1-to-1 alignments, for the core N/V/J/R/I POS tags.</S><S sid = 52 ssid = >Given the lower frequency of most content words, the potential risks of using these 1-to-n alignments are greater, but so are the benefits given that the 1-to-1 alignments tend to be both sparse and somewhat biased.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1026.txt | Citing Article:  W03-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Yarowsky and Ngai, 2001) propose the same algorithm as the one proposed here for their estimation of lexical priors, with the exception that they use automatic word alignments rather than our extraction algorithm for finding corresponding words.</S> | Reference Offset:  ['59','63'] | Reference Text:  <S sid = 59 ssid = >After the lexical prior models have been trained (as above), sentences are also tested to identify those where the directly projected tag sequence (from the automatic alignments) is closely compatible with the estimated lexical prior probabilities for each word.</S><S sid = 63 ssid = >2The exception is for function words (i.e. the majority lexical prior is not a Noun, Verb, Adjective or Adverb) located in a 1-to-n alignment sequence.</S> | Discourse Facet:  NA | Annotator: Automatic


