Citance Number: 1 | Reference Article:  J97-1005.txt | Citing Article:  N12-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Passonneau and Litman (1997) describe an experiment where seven untrained annotators were asked to find discourse segments in a corpus of transcribed narratives about a movie.</S> | Reference Offset:  ['154','637'] | Reference Text:  <S sid = 154 ssid = >Chafe recorded and transcribed subjects who had been asked to view the same movie and describe it to a second person.</S><S sid = 637 ssid = >Similarly, although our spoken corpus was manually transcribed, this could have been automated using speech recognition (although this would introduce further sources of error).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-1005.txt | Citing Article:  E99-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We turned the segmentation task into a classification task by using boundaries between dialogue acts as one class and non-boundaries a the other (see Passonneau and Litman (1997) for a similar practice).</S> | Reference Offset:  ['243','578'] | Reference Text:  <S sid = 243 ssid = >The segmentation task reported here is not properly a classification task, in that we do not presume that there is a given set of segment boundaries that subjects are likely to identify.</S><S sid = 578 ssid = >The problem of unbalanced data is not unique to the boundary classification task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-1005.txt | Citing Article:  H05-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By using multiple markers and machine learning methods, topic segmentation algorithms may be developed using this second approach that have a higher accuracy than methods using a single marker alone (Passonneau and Litman, 1997).</S> | Reference Offset:  ['8','17'] | Reference Text:  <S sid = 8 ssid = >We then develop a second set using two methods: error analysis and machine learning.</S><S sid = 17 ssid = >We then develop a second set using two methods: error analysis and machine learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-1005.txt | Citing Article:  W04-0203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Even annotating linear segmentation is challenging, particularly in the vicinity of segment boundaries (PassonneauandLitman, 1997).</S> | Reference Offset:  ['163','597'] | Reference Text:  <S sid = 163 ssid = >First, subjects were asked to perform a linear rather than a hierarchical segmentation, where a linear segmentation simply consists of dividing a narrative into sequential units.</S><S sid = 597 ssid = >On a relatively unconstrained linear segmentation task, the number of times different naive subjects identify the same segment boundaries in a given narrative transcript is extremely significant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J97-1005.txt | Citing Article:  W04-0203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These referential and lexical features build on the work of Passonneau and Litman (1997), who use them in discourse segmentation.</S> | Reference Offset:  ['152','629'] | Reference Text:  <S sid = 152 ssid = >Full details are presented in Passonneau and Litman (1996).</S><S sid = 629 ssid = >In related work, we have tested the hypothesis that the use of a discourse focus structure based on the Pear segmentation data improves performance of a generation algorithm, thus providing a quantitative measure of the utility of the segmentation data (Passonneau 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


