Citance Number: 1 | Reference Article:  P91-1022.txt | Citing Article:  P93-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >We see an example of this in Sentence 4.</S><S sid = 145 ssid = >Table 4 shows some interesting examples of this.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P91-1022.txt | Citing Article:  P06-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Statistical alignment methods at sentence level have been thoroughly investigated Gale and Church, 1991a/ 1991b; Brown et al, 1991.</S> | Reference Offset:  ['7','18'] | Reference Text:  <S sid = 7 ssid = >Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S><S sid = 18 ssid = >The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P91-1022.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Early work by Peter Brown et al (1991) and William Gale and Kenneth Church (1991) aligned sentences which had a proportional number of words and characters, respectively.</S> | Reference Offset:  ['7','18'] | Reference Text:  <S sid = 7 ssid = >Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S><S sid = 18 ssid = >The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P91-1022.txt | Citing Article:  W02-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are basically three kinds of approaches on sentence alignment: the length-based approach (Gale and Church 1991 and Brown et al 1991), the lexical approach (key and Roscheisen 1993), and the combination of them (Chen 1993, Wu 1994 and Langlais 1998, etc.).</S> | Reference Offset:  ['8','18'] | Reference Text:  <S sid = 8 ssid = >The lynchpin of their approach is a large collection of pairs of sentences that are mutual translations.</S><S sid = 18 ssid = >The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S> | Discourse Facet:  NA | Annotator: Automatic


