Citance Number: 1 | Reference Article:  P01-1064.txt | Citing Article:  C02-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CWM is described in (Choi, 2001), U00 in (Utiyama and Isahara, 2001), C99 in (Choi, 2000), DotPlot in (Reynar, 1998) and Segmenter in (Kan et al, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This data was used by Choi (2000) to compare various domain-independent text segmentation systems.6 He evaluated (Choi, 2000), TextTiling (Hearst, 1994), DotPlot (Reynar, 1998), and Segmenter (Kan et al., 1998) by using the data and reported that achieved the best performance among these systems.</S><S sid = NA ssid = NA>A lot of research has been done on text segmentation (Kozima, 1993; Hearst, 1994; Okumura and Honda, 1994; Salton et al., 1996; Yaari, 1997; Kan et al., 1998; Choi, 2000; Nakao, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1064.txt | Citing Article:  N12-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Misra et al (2009) extended the DP algorithm U00 from Utiyama and Isahara (2001) using TMs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore, a solution can be obtained by applying a dynamic programming (DP) algorithm.4 DP algorithms have also been used for text segmentation by other researchers (Ponte and Croft, 1997; Heinonen, 1998).</S><S sid = NA ssid = NA>For English, Klavans, et al. describe a segmentation corpus in which the texts were segmented by humans (Klavans et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1064.txt | Citing Article:  N12-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Freddy Y. Y. Choi for his text segmentation package.</S><S sid = NA ssid = NA>We also assume that the words within the scope of a topic are statistically independent of each other given the topic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1064.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Utiyama and Isahara, 2001) models the problem of TS as a problem of finding the minimum cost path in a graph and therefore adopts a dynamic programming algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Algorithms for finding the minimum-cost path in a graph are well known.</S><S sid = NA ssid = NA>Find the minimum-cost path from to .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P01-1064.txt | Citing Article:  W04-0207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The problem of finding thematic boundaries other than sentence boundaries automatically (e.g. Utiyama and Isahara (2001)) is thus not addressed in this work.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The segmentation boundaries were placed at the ends of sentences.</S><S sid = NA ssid = NA>In this paper, we assume that the segment boundaries are at the ends of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


