Citance Number: 1 | Reference Article:  P03-2041.txt | Citing Article:  C04-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Eisner, 2003) outlines a computationally expensive structural manipulation tool which he has used for intra-lingual translation but has yet to apply to interlingual translation.</S> | Reference Offset:  ['12','68'] | Reference Text:  <S sid = 12 ssid = >Such systematic mismatches should be learned by the model, and used during translation.</S><S sid = 68 ssid = >Several researchers have tried putting “more syntax” into translation models: like us, they use statistical versions of synchronous grammars, which generate source and target sentences in parallel and so describe their correspondence.4 This approach offers four features absent from IBM-style models: (1) a recursive phrase-based translation, (2) a syntax-based language model, (3) the ability to condition a word’s translation on the translation of syntactically related words, and (4) polynomial-time optimal alignment and decoding (Knight, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-2041.txt | Citing Article:  C04-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Eisner, 2003) presents a tree-mapping method for use on dependency trees which he claims can be adapted for use with PS trees.</S> | Reference Offset:  ['1','9'] | Reference Text:  <S sid = 1 ssid = >Often one may wish to learn a tree-to-tree mapping, training it on unaligned pairs of trees, or on a mixture of trees and strings.</S><S sid = 9 ssid = >Our methods work on either dependency trees (as shown) or phrase-structure trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-2041.txt | Citing Article:  P13-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Those systems use synchronous context-free grammars (Chiang, 2007), synchronous tree substitution grammars (Eisner, 2003) or even more powerful formalisms like synchronous tree-sequence substitution grammars (Sun et al, 2009).</S> | Reference Offset:  ['23','69'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 69 ssid = >Previous work in statistical synchronous grammars has been limited to forms of synchronous context-free grammar (Wu, 1997; Alshawi et al., 2000; Yamada and Knight, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-2041.txt | Citing Article:  W06-3601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Shieber and Schabes (1990) introduce synchronous tree-adjoining grammar (STAG) and Eisner (2003) uses a synchronous tree-substitution grammar (STSG), which is a restricted version of STAG with no adjunctions.</S> | Reference Offset:  ['23','33'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 33 ssid = >STSG is simply a version of synchronous treeadjoining grammar or STAG (Shieber and Schabes, 1990) that lacks the adjunction operation.</S> | Discourse Facet:  NA | Annotator: Automatic


