Citance Number: 1 | Reference Article:  P00-1065.txt | Citing Article:  C02-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See (Gildea and Jurafsky, 2000) for some promising initial work in applying statistical techniques to the FrameNet database to automatically label frame elements.</S> | Reference Offset:  ['17','19'] | Reference Text:  <S sid = 17 ssid = >We apply statistical techniques that have been successful for these tasks, including probabilistic parsing and statistical classification.</S><S sid = 19 ssid = >The FrameNet database defines a tagset of semantic roles called frame elements, and includes roughly 50,000 sentences from the British National Corpus which have been hand-labeled with these frame elements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P00-1065.txt | Citing Article:  P03-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While a machine learning approach is used in (Gildea and Jurafsky, 2000) to determine general semantic roles, we used a simple rule-based traversal of the parse tree instead, which could also reliably determine the generic agent and patient role of a sentence, and this suffices for our current purpose.</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >Identifying these roles, for example, could allow a system to determine that in the sentence &quot;The first one crashed&quot; the subject is the vehicle, but in the sentence &quot;The first one crashed it&quot; the subject is the agent, which would help in information extraction in this domain.</S><S sid = 22 ssid = >Historically, two types of semantic roles have been studied: abstract roles such as AGENT and PATiENT, and roles specific to individual verbs such as EATER and EATEN for &quot;eat&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P00-1065.txt | Citing Article:  W03-1210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many researchers (Blaheta and Charniak 2000), (Gildea and Jurafsky 2000), showed that lexical and syntactic information is very useful for predicate argument recognition tasks, such as semantic roles.</S> | Reference Offset:  ['12','42'] | Reference Text:  <S sid = 12 ssid = >Adding semantic role subcategorization information to this syntactic information could extend this idea to use richer semantic knowledge.</S><S sid = 42 ssid = >More recently, a domain independent system has been trained on general function tags such as MANNER and TEMpoRAL by Blaheta and Charniak (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P00-1065.txt | Citing Article:  N04-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gildea and Jurafsky (2000, 2002) describe a statistical approach for semantic role labelling using data collected from FrameNet.</S> | Reference Offset:  ['16','48'] | Reference Text:  <S sid = 16 ssid = >Our approach to semantic analysis is to treat the problem of semantic role labeling like the similar problems of parsing, part of speech tagging, and word sense disambiguation.</S><S sid = 48 ssid = >Probabilities for each possible semantic role r are then computed from the features.</S> | Discourse Facet:  NA | Annotator: Automatic


