Citance Number: 1 | Reference Article:  W04-3205.txt | Citing Article:  H05-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>LSA Match: v and M (v) are distributionally similar according to a freely available Latent Semantic Indexing package,2 or for verbs similar according to VerbOcean (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather, verbs are often similar or related.</S><S sid = NA ssid = NA>We estimated the a similar method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3205.txt | Citing Article:  P14-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will consider to use a supervised learning approach, as well as the similar features employed for temporal relation classification task, in addition to lexical information (e.g. WordNet (Fellbaum, 1998), VerbOcean (Chklovski and Pantel, 2004)) and the existing causal signals.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We provide finer-grained relations such as strength, enablement and temporal information.</S><S sid = NA ssid = NA>In other work, Webber et al. (2002) have argued that successful question answering depends on lexical reasoning, and that lexical reasoning in turn requires fine-grained verb semantics in addition to troponymy (is-a relations between verbs) and antonymy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3205.txt | Citing Article:  C10-2170.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For event terms, we first find the root verbs of deverbal nouns and then measure verb similarity by using the fine-grained relations provided by VerbOcean (Chklovski and Pantel, 2004), which has proved useful in summarization (Liu et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations</S><S sid = NA ssid = NA>Recently, Moldovan et al. (2004) present a learning algorithm to detect 35 fine-grained noun phrase relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3205.txt | Citing Article:  W06-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, we could emulate the approach used in VerbOcean (Chklovski and Pantel 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach has two stages.</S><S sid = NA ssid = NA>We used these as our set to extract finergrained relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3205.txt | Citing Article:  W09-1701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The work on VerbOcean is similar to our research in the use of the Web for acquiring relationships (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations</S><S sid = NA ssid = NA>Previous web mining work has rarely addressed extracting many different semantic relations from Web-sized corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


