Citance Number: 1 | Reference Article:  P04-1018.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Luo et al (2004) also apply beam search at test time, but use a static assignment of antecedents and learns log-linear model using batch learning.</S> | Reference Offset:  ['138','205'] | Reference Text:  <S sid = 138 ssid = >These numbers are obtained with a fixed search beam and pruning threshold (widening the search beam or using a smaller pruning threshold did not change results significantly).</S><S sid = 205 ssid = >A beam search algorithm is used to search the best entity result.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1018.txt | Citing Article:  P08-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Luo et al (2004) who used a Bell tree whose leaves represent possible partitionings of the mentions into entities and then trained a model for searching the tree.</S> | Reference Offset:  ['17','30'] | Reference Text:  <S sid = 17 ssid = >In Section 2, we present how the Bell tree can be used to represent the process of creating entities from mentions and the search space.</S><S sid = 30 ssid = >Since the number of tree leaves is the number of possible coreference outcomes and it equals the Bell Number (Bell, 1934), the tree is called the Bell tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1018.txt | Citing Article:  P08-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As observed by Luo et al (2004), if all mentions in each document are placed into a single entity, the results on the MUC-6 formal test set are 100% recall, 78.9% precision, and 88.2% F1 score - significantly higher than any published system.</S> | Reference Offset:  ['173','175'] | Reference Text:  <S sid = 173 ssid = >Since MUC does not require entity label and level, the conversion from ACE to MUC is “lossless.” Table 5 tabulates the test results on the true mentions of the MUC6 formal test set.</S><S sid = 175 ssid = >The MUC scorer cannot be used since it inherently favors systems that output fewer number of entities (e.g., putting all mentions of the MUC6 formal test set into one entity will yield a recall and precision of links, which gives an F-measure).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1018.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To cope with this computational complexity, Luo employs the algorithm proposed in Luo et al (2004) to heuristically search for the most probable partition by performing a beam search through a Bell tree.</S> | Reference Offset:  ['109','205'] | Reference Text:  <S sid = 109 ssid = >The last line returns top results, where denotes the result ranked by : Algorithm 1 Search Algorithm The complexity of the search Algorithm 1 is the total number of nodes in the Bell tree, which is , where is the Bell Number.</S><S sid = 205 ssid = >A beam search algorithm is used to search the best entity result.</S> | Discourse Facet:  NA | Annotator: Automatic


