Citance Number: 1 | Reference Article:  P93-1003.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >Linguistic structure is used in the form of noun phrase recognizers to select phrases for a stochastic model which serves as a means of minimizing errors due to the approximations inherent in the correspondence model.</S><S sid = 119 ssid = >The algorithm is robust, and extensible in several ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1003.txt | Citing Article:  P13-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, Kupiec (1993) uses statistical techniques and extracts bilingual noun phrases from parallel corpora tagged with terms.</S> | Reference Offset:  ['0','23'] | Reference Text:  <S sid = 0 ssid = >An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = 23 ssid = >They can be used in bilingual concordances, for automatically constructing bilingual lexicons, and probabilistically quantified correspondences may be useful for statistical translation methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1003.txt | Citing Article:  C08-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There is a long tradition of research into bilingual terminology extraction (Kupiec, 1993), (Gaussier, 1998).</S> | Reference Offset:  ['0','37'] | Reference Text:  <S sid = 0 ssid = >An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = 37 ssid = >Some terminology is necessary to describe the algorithm concisely.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1003.txt | Citing Article:  W00-1309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kupiec (1993) applied finite state transducer in his noun phrases recogniser for both English and French.</S> | Reference Offset:  ['2','28'] | Reference Text:  <S sid = 2 ssid = >The taggers provide part-of-speech categories which are used by finite-state recognizers to extract simple noun phrases for both languages.</S><S sid = 28 ssid = >Simple noun phrases (excluding pronouns and digits) are then extracted from the sentences by finite-state recognizers that are specified by regular expressions defined in terms of part-ofspeech categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P93-1003.txt | Citing Article:  P04-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kupiec (1993) attempted to find noun phrase correspondences in parallel corpora using part-of-speech tagging and noun phrase recognition methods.</S> | Reference Offset:  ['0','84'] | Reference Text:  <S sid = 0 ssid = >An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = 84 ssid = >The majority of errors that occur are not the result of incorrect tagging or noun phrase recognition, but are the result of the approximate nature of the correspondence model.</S> | Discourse Facet:  NA | Annotator: Automatic


