Citance Number: 1 | Reference Article:  J95-4004.txt | Citing Article:  P96-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Brill, 1995) a system of rules which uses both ending-guessing and more morphologically motivated rules is described.</S> | Reference Offset:  ['114','197'] | Reference Text:  <S sid = 114 ssid = >The direct correlation between rules and performance improvement in transformation-based learning can make the learned rules more readily interpretable than decision tree rules for increasing population purity.'</S><S sid = 197 ssid = >If the most likely tag for unknown words can be assigned with high accuracy, then the contextual rules can be used to improve accuracy, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J95-4004.txt | Citing Article:  P96-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Brill (Brill, 1995) outlines a transformation-based learner which learns guessing rules from a pre-tagged training corpus.</S> | Reference Offset:  ['36','258'] | Reference Text:  <S sid = 36 ssid = >This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S><S sid = 258 ssid = >This learning approach has also been applied to a number of other tasks, including prepositional phrase attachment disambiguation (Brill and Resnik 1994), bracketing text (Brill 1993a) and labeling nonterminal nodes (Brill 1993c).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J95-4004.txt | Citing Article:  P96-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The other tagger was the rule-based tagger of Brill (Brill, 1995).</S> | Reference Offset:  ['36','258'] | Reference Text:  <S sid = 36 ssid = >This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S><S sid = 258 ssid = >This learning approach has also been applied to a number of other tasks, including prepositional phrase attachment disambiguation (Brill and Resnik 1994), bracketing text (Brill 1993a) and labeling nonterminal nodes (Brill 1993c).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J95-4004.txt | Citing Article:  E12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The task is typically addressed as a sequential tagging problem; one notable exception is the work of Brill (1995), who proposed non-sequential transformation-based learning.</S> | Reference Offset:  ['115','194'] | Reference Text:  <S sid = 115 ssid = >In this section we describe the practical application of transformation-based learning to part-of-speech tagging.'</S><S sid = 194 ssid = >So far, we have not addressed the problem of unknown words.</S> | Discourse Facet:  NA | Annotator: Automatic


