Citance Number: 1 | Reference Article:  J98-2004.txt | Citing Article:  P99-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The (Caraballo and Charniak, 1998) article considers a number of different figures of merit for ordering the agenda, and ultimately recommends one that reduces the number of edges required for a full parse into the thousands.</S> | Reference Offset:  ['224','229'] | Reference Text:  <S sid = 224 ssid = >Recall of the best parse found in a fixed number of edges for the estimates.</S><S sid = 229 ssid = >Again, we measured the recall of the best parse of each sentence found within each number of edges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-2004.txt | Citing Article:  P99-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Caraballo and Charniak, 1998) and [Gold98] use a figure which indicates the merit of a given constituent or edge, relative only to itself and its children but independent of the progress of the parse we will call this the edge's independent merit (IM).</S> | Reference Offset:  ['183','226'] | Reference Text:  <S sid = 183 ssid = >Magerman and Marcus (1991) use the geometric mean to compute a figure of merit that is independent of constituent length.</S><S sid = 226 ssid = >Caraballo and Charniak Figures of Merit This level of precision is independent of the figure of merit used, so measurement of precision does not help evaluate our figures of merit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-2004.txt | Citing Article:  P99-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['119','240'] | Reference Text:  <S sid = 119 ssid = >The p(Nihk,to,i) term is just au defined above in the discussion of the normalized al,13 model.</S><S sid = 240 ssid = >This research was supported in part by NSF grant IRI-9319516 and by ONR grant N0014-96-1-0549.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-2004.txt | Citing Article:  P99-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['119','240'] | Reference Text:  <S sid = 119 ssid = >The p(Nihk,to,i) term is just au defined above in the discussion of the normalized al,13 model.</S><S sid = 240 ssid = >This research was supported in part by NSF grant IRI-9319516 and by ONR grant N0014-96-1-0549.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J98-2004.txt | Citing Article:  E12-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Again it is reminiscent of a best-first parser (Caraballo and Charniak, 1998) in the use of an agenda and a chart, but is fundamentally different due to the fact that there is no input order.</S> | Reference Offset:  ['154','175'] | Reference Text:  <S sid = 154 ssid = >However, the parser cannot compute the outside probability of a constituent during a parse, and so in order to use context on both sides of the constituent, we need to use something like our boundary statistics.</S><S sid = 175 ssid = >The treebank grammar was introduced in Charniak (1996), and the parser in, that paper is a best-first parser using the boundary trigram figure of merit.</S> | Discourse Facet:  NA | Annotator: Automatic


