Citance Number: 1 | Reference Article:  P07-1121.txt | Citing Article:  W08-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This was pursued further, for instance, by Zettlemoyer and Collins (2005) and Wong and Mooney (2007), aimed at learning log-linear models, or (in the latter case) synchronous CF grammars augmented with lambda operators, for mapping English queries to DB queries.</S> | Reference Offset:  ['0','159'] | Reference Text:  <S sid = 0 ssid = >Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus</S><S sid = 159 ssid = >All English questions in this data set were manually translated into Spanish, Japanese and Turkish, while the corresponding Prolog queries remain unchanged.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1121.txt | Citing Article:  C10-2062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They solved the problem of aligning sentences and meanings by iteratively retraining an existing supervised semantic parser, WASP (Wong and Mooney, 2007b) or KRISP (Kate and Mooney, 2006), or an existing supervised natural-language generator, WASP-1 (Wong and Mooney, 2007a).</S> | Reference Offset:  ['16','32'] | Reference Text:  <S sid = 16 ssid = >For some domains, this problem can be avoided by transforming a logical language into a variable-free, functional language (e.g. the GEOQUERY functional query language in Wong and Mooney (2006)).</S><S sid = 32 ssid = >Our work is based on the WASP semantic parsing algorithm (Wong and Mooney, 2006), which translates NL sentences into MRs using an SCFG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1121.txt | Citing Article:  C10-2062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S><S sid = 173 ssid = >This work was supported by a gift from Google Inc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S><S sid = 173 ssid = >This work was supported by a gift from Google Inc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','173'] | Reference Text:  <S sid = 54 ssid = >Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S><S sid = 173 ssid = >This work was supported by a gift from Google Inc.</S> | Discourse Facet:  NA | Annotator: Automatic


