Citance Number: 1 | Reference Article:  D08-1020.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In any case, this aspect of readability may be worth further investigation (Pitler and Nenkova, 2008).</S> | Reference Offset:  ['141','146'] | Reference Text:  <S sid = 141 ssid = >As in the case of vocabulary features, the presence of more relations will lead to overall lower probabilities so we also consider the number of discourse relations (F14) and the log likelihood combined with the number of relations as features.</S><S sid = 146 ssid = >This fact is disappointing as the explicit relations can be identified much more easily in unannotated text (Pitler et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1020.txt | Citing Article:  N10-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In another related work, (Pitler and Nenkova, 2008) investigated the impact of certain surface linguistic features, syntactic, entity coherence and discourse features on the readability of Wall Street Journal (WSJ) Corpus.</S> | Reference Offset:  ['3','187'] | Reference Text:  <S sid = 3 ssid = >We show that various surface metrics generally expected to be related to readability are not very good predictors of readability judgments in our Wall Street Journal corpus.</S><S sid = 187 ssid = >We have investigated which linguistic features correlate best with readability judgments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1020.txt | Citing Article:  N10-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the syntactic features used in (Pitler and Nenkova, 2008) as baselines for our experiments on grammaticality in this paper.</S> | Reference Offset:  ['5','104'] | Reference Text:  <S sid = 5 ssid = >Our experiments indicate that discourse relations are the one class of features that exhibits robustness across these two tasks.</S><S sid = 104 ssid = >The correlations between readability and syntactic features is shown in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1020.txt | Citing Article:  C10-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pitler and Nenkova (2008) consider a different task of predicting text quality for an educated adult audience.</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Revisiting Readability: A Unified Framework for Predicting Text Quality</S><S sid = 16 ssid = >In our work we use texts from the Wall Street Journal intended for an educated adult audience to analyze readability factors including vocabulary, syntax, cohesion, entity coherence and discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


