Citance Number: 1 | Reference Article:  P97-1013.txt | Citing Article:  W97-0713.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Percent agreement with the majonty opinion for each text We took then the RS-trees built by the analysts and used our formalizaUon of RST (Marcu, 1996, Marcu, 1997b) to assocmte with each.</S> | Reference Offset:  ['109','140'] | Reference Text:  <S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S><S sid = 140 ssid = >Besides directly comparing the trees built by the program with those built by analysts, we also evaluated the impact that our trees could have on the task of summarizing text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P97-1013.txt | Citing Article:  W97-0713.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The mathematical foundations of the rhetorical parsing algorithm rely on a first order formatioon of valid text structures (Marcu, 1997b).</S> | Reference Offset:  ['13','106'] | Reference Text:  <S sid = 13 ssid = >The mathematical foundations of the rhetorical parsing algorithm rely on a first-order formalization of valid text structures (Marcu, 1997).</S><S sid = 106 ssid = >The rhetorical parsing algorithm is outlined in figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P97-1013.txt | Citing Article:  W11-2306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Document structure (WD) is another important clue in determining which elements of a text are important enough to include in a summary (Marcu, 1997).</S> | Reference Offset:  ['27','50'] | Reference Text:  <S sid = 27 ssid = >The most important units of a textual span are determined recursively: they correspond to the most important units of the immediate subspans when the relation that holds between these subspans is paratactic, and to the most important units of the nucleus subspan when the relation that holds between the immediate subspans is hypotactic.</S><S sid = 50 ssid = >For example, relation rhet_re/(ELABoRATIoN, 3, 1) will be ruled out because unit 1 is not an important unit for span [1,2] and, as mentioned at the beginning of this section, a rhetorical relation that holds between two spans of a valid text structure must also hold between their most important units: the important unit of span [1,2] is unit 2, i.e., the nucleus of the relation r het fel(cONCESSION , 1,2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P97-1013.txt | Citing Article:  P98-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most recently, Marcu (1997) has described a method for text summarization based on nuclearity and selective retention of hierarchical fragments.</S> | Reference Offset:  ['74','109'] | Reference Text:  <S sid = 74 ssid = >The algorithms described in this paper rely on the results derived from the analysis of 1600 of the 7900 text fragments.</S><S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S> | Discourse Facet:  NA | Annotator: Automatic


