Citance Number: 1 | Reference Article:  W04-3230.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The lattice-conditional estimation approach was first used by Kudo et al (2004) for Japanese segmentation and hierarchical POS-tagging and by Smith and Smith (2004) for Korean morphological disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Japanese part-of-speech (POS) tagsets used in the two major Japanese morphological analyzers ChaSen2 and JUMAN3 take the form of a hierarchical structure.</S><S sid = NA ssid = NA>A simple approach would be to let a character be a token (i.e., character-based Begin/Inside tagging) so that boundary ambiguity never occur (Peng et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3230.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Japanese WS, unknown words are usu ally dealt with in an on line manner with the unknown word model, which uses heuristics 183 depending on character types (Kudo et al,2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For an unknown word, length of the word, up to 2 suffixes/prefixes and character types are used as the features.</S><S sid = NA ssid = NA>Although the performance of unknown words were improved, that of known words degraded due to the label and length bias.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3230.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Japanese, our unknown word model relies on heuristics based on character types and word length to generate word nodes, similar to that of MeCab (Kudo et al., 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For an unknown word, length of the word, up to 2 suffixes/prefixes and character types are used as the features.</S><S sid = NA ssid = NA>A simple approach would be to let a character be a token (i.e., character-based Begin/Inside tagging) so that boundary ambiguity never occur (Peng et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3230.txt | Citing Article:  P13-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Kiyotaka Uchimoto and Masayuki Asahara, who explained the details of their Japanese morphological analyzers.</S><S sid = NA ssid = NA>The goal is to select a correct path yˆ from all candidate paths in the Y(x).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3230.txt | Citing Article:  D10-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kudo et al (2004) use SVMs to morphologically tag Japanese.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Uchimoto et al. attempted a variant of MEMMs for Japanese morphological analysis with a number of features including suffixes and character types (Uchimoto et al., 2001; Uchimoto et al., 2002; Uchimoto et al., 2003).</S><S sid = NA ssid = NA>To make a fare comparison, we use exactly the same data as (Uchimoto et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


