Citance Number: 1 | Reference Article:  W02-1039.txt | Citing Article:  P03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second constraint, known as the cohesion constraint (Fox, 2002), uses the dependency tree (Melcuk, 1987) of the English sentence to restrict possible link combinations.</S> | Reference Offset:  ['35','130'] | Reference Text:  <S sid = 35 ssid = >The alignments are of two types: sure (S) and possible (P).</S><S sid = 130 ssid = >Figure 9 shows a parse tree and its corresponding dependency structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1039.txt | Citing Article:  P12-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) shows that translation between English and French satisfies cohesion in the majority cases.</S> | Reference Offset:  ['27','138'] | Reference Text:  <S sid = 27 ssid = >Figure 1 shows an example of an English parse along with the alignment between the English and French words (shown with dotted lines).</S><S sid = 138 ssid = >We have examined the issue of phrasal cohesion between English and French and discovered that while there is less cohesion than we might desire, there is still a large amount of regularity in the constructions where breakdowns occur.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1039.txt | Citing Article:  P06-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar alternations are rife in bilingual data, e.g., ne pas in French (Fox, 2002) and separable prefixes in German (Collins et al 2005).</S> | Reference Offset:  ['28','100'] | Reference Text:  <S sid = 28 ssid = >The English word “not” is aligned to the two French words “ne” and “pas” and thus has a span of [1,3].</S><S sid = 100 ssid = >Because “ne ... pas” wraps around the verb, it will always result in a crossing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1039.txt | Citing Article:  P05-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to lexical translation, our system models structural changes and changes to feature values, for although dependency structures are fairly well preserved across languages (Fox, 2002), there are certainly many instances where the structure must be modified.</S> | Reference Offset:  ['103','128'] | Reference Text:  <S sid = 103 ssid = >In addition, the crossings associated with these particular structures were unambiguously caused by negation (i.e. for each structure, only negation-related crossings were present).</S><S sid = 128 ssid = >Therefore, dependency structures should cohere as well as, or better than, their corresponding syntactic structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W02-1039.txt | Citing Article:  P06-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this, we need a formalism that is expressive enough to deal with cases of syntactic divergence between source and target languages (Fox, 2002): for any given (pi, f, a) triple, it is useful to produce a derivation that minimally explains the transformation be tween pi and f, while remaining consistent with a.</S> | Reference Offset:  ['7','18'] | Reference Text:  <S sid = 7 ssid = >The translation model captures the translation of source language words into the target language and the reordering of those words.</S><S sid = 18 ssid = >It is also clear that if the cohesion between two closely related languages is not high enough to be useful, then there is no hope for these methods when applied to distantly related languages.</S> | Discourse Facet:  NA | Annotator: Automatic


