Citance Number: 1 | Reference Article:  J98-3005.txt | Citing Article:  W00-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['181','485'] | Reference Text:  <S sid = 181 ssid = >We provide examples of the summarization markers we collected for the lexicon and show the demands that summarization creates for interpretation.</S><S sid = 485 ssid = >The authors are grateful to the following people for their invaluable comments during the writing of the paper and at presentations of work related to the content of the paper: Alfred Aho, Shih-Fu Chang, Eleazar Eskin, Vasileios Hatzivassiloglou, Alejandro Jaimes, Hongyan Jing, Judith Klavans, Min-Yen Kan, Carl Sable, Eric Siegel, John Smith, Nina Wacholder, Kazi Zaman as well as the anonymous reviewers and the editors of the special issue on natural language generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-3005.txt | Citing Article:  W03-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For examples of work in producing abstract-like summaries, see Radev and McKeown (1998), which combines work in information extraction and natural language processing.</S> | Reference Offset:  ['0','68'] | Reference Text:  <S sid = 0 ssid = >Generating Natural Language Summaries From Multiple On-Line Sources</S><S sid = 68 ssid = >In this section, we first present work on sentence extraction, next turn to work on identifying information in an article that should appear in a summary, and conclude with work on generation of summaries from data, showing how this task differs from the more general language generation task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-3005.txt | Citing Article:  W04-3256.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Radev and McKeown (1998) point out when summarizing interesting news events from multiple sources, one can expect reports with contradictory and redundant information.</S> | Reference Offset:  ['47','51'] | Reference Text:  <S sid = 47 ssid = >Given the omnipresence of on-line news services, one can expect that any interesting news event will be covered by several, if not most of them.</S><S sid = 51 ssid = >For example, if two sources of information report a different number of casualties in a particular incident, SUMMONS will report the contradiction and attribute the contradictory information to its sources, rather than select one of the contradictory pieces without the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-3005.txt | Citing Article:  P05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Notable systems are SUMMONS (Radev and McKeown, 1998).</S> | Reference Offset:  ['24','262'] | Reference Text:  <S sid = 24 ssid = >We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S><S sid = 262 ssid = >However, SUMMONS uses this feature to report disagreement between output by different systems.</S> | Discourse Facet:  NA | Annotator: Automatic


