Citance Number: 1 | Reference Article:  W06-1615.txt | Citing Article:  D07-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Blitzer et al, 2006), we present an application of structural correspondence learning to non-projective dependency parsing (McDonald et al, 2005).</S> | Reference Offset:  ['130','180'] | Reference Text:  <S sid = 130 ssid = >MIRA has been used successfully for both sequence analysis (McDonald et al., 2005a) and dependency parsing (McDonald et al., 2005b).</S><S sid = 180 ssid = >We use the parser described by McDonald et al. (2005b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-1615.txt | Citing Article:  D07-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we investigate the effectiveness of structural correspondence learning (SCL) (Blitzer et al, 2006) in the domain adaptation task given by the CoNLL 2007.</S> | Reference Offset:  ['0','222'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation With Structural Correspondence Learning</S><S sid = 222 ssid = >Structural correspondence learning is a marriage of ideas from single domain semi-supervised learning and domain adaptation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-1615.txt | Citing Article:  P11-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Prettenhofer and Stein (2010) investigate cross lingual sentiment classification from the perspective of domain adaptation based on structural correspondence learning (Blitzer et al, 2006).</S> | Reference Offset:  ['0','222'] | Reference Text:  <S sid = 0 ssid = >Domain Adaptation With Structural Correspondence Learning</S><S sid = 222 ssid = >Structural correspondence learning is a marriage of ideas from single domain semi-supervised learning and domain adaptation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-1615.txt | Citing Article:  P10-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There has been a lot of work in domain adaption for NLP (Dai et al, 2007) (Jiang and Zhai, 2007) and one suitable choice for our problem is the approach based on structural correspondence learning (SCL) as in (Blitzer et al, 2006) and (Blitzer et al, 2007b).</S> | Reference Offset:  ['19','130'] | Reference Text:  <S sid = 19 ssid = >There are many choices for modeling co-occurrence data (Brown et al., 1992; Pereira et al., 1993; Blei et al., 2003).</S><S sid = 130 ssid = >MIRA has been used successfully for both sequence analysis (McDonald et al., 2005a) and dependency parsing (McDonald et al., 2005b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-1615.txt | Citing Article:  P10-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These features can either be identified with heuristics (Blitzer et al, 2006) or by automatic selection (Blitzer et al, 2007b).</S> | Reference Offset:  ['19','130'] | Reference Text:  <S sid = 19 ssid = >There are many choices for modeling co-occurrence data (Brown et al., 1992; Pereira et al., 1993; Blei et al., 2003).</S><S sid = 130 ssid = >MIRA has been used successfully for both sequence analysis (McDonald et al., 2005a) and dependency parsing (McDonald et al., 2005b).</S> | Discourse Facet:  NA | Annotator: Automatic


