Citance Number: 1 | Reference Article:  P04-1035.txt | Citing Article:  P09-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, Ng et al (2006) examine the FS of the weighted log-likelihood ratio (WLLR) on the movie review dataset and achieves an accuracy of 87.1%, which is higher than the result reported by Pang and Lee (2004) with the same dataset.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, it so happens that at N = 30, performance is actually slightly better than (but statistically indistinguishable from) Full review even when the SVM default polarity classifier is used (87.2% vs. 87.15%).12 This suggests potentially effective extraction alternatives other than using a fixed probability threshold (which resulted in the lower accuracy of 86.4% reported above).</S><S sid = NA ssid = NA>The motivation behind the singlesentence selection method of Beineke et al. (2004) is to reveal a document’s sentiment polarity, but they do not evaluate the polarity-classification accuracy that results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1035.txt | Citing Article:  P09-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In sentiment text classification, we also use two data sets: one is the widely used Cornell movie-review dataset (Pang and Lee, 2004) and one dataset from product reviews of domain DVD (Blitzer et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The motivation behind the singlesentence selection method of Beineke et al. (2004) is to reveal a document’s sentiment polarity, but they do not evaluate the polarity-classification accuracy that results.</S><S sid = NA ssid = NA>Document polarity classification poses a significant challenge to data-driven methods, resisting traditional text-categorization techniques (Pang, Lee, and Vaithyanathan, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1035.txt | Citing Article:  P13-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For our experiments, we employ a large, recently introduced IMDB movie review dataset (Maas et al, 2011), in place of the smaller dataset introduced in (Pang and Lee, 2004) more commonly used for sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As noted in Section 3, both Naive Bayes and SVMs can be trained on our subjectivity dataset and then used as a basic subjectivity detector.</S><S sid = NA ssid = NA>We refer to this corpus as the polarity dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1035.txt | Citing Article:  C08-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pang and Lee (2004) use a graph-based technique to identify and analyze only subjective parts of texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, we propose an alternative that avoids the need for such feature engineering: we use an efficient and intuitive graph-based formulation relying on finding minimum cuts.</S><S sid = NA ssid = NA>We note that the performance 13Parameters are chosen from T E {1, 2, 3}, f(d) E {1, e1−d, 1/d2}, and c E [0, 1] at intervals of 0.1. enhancements cannot be attributed entirely to the mere inclusion of more sentences regardless of whether they are subjective or not — one counterargument is that Full review yielded substantially worse results for the NB default polarity classifier— and at any rate, the graph-derived extracts are still substantially more concise than the full texts.</S> | Discourse Facet:  NA | Annotator: Automatic


