Citance Number: 1 | Reference Article:  P05-1020.txt | Citing Article:  W06-1633.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Ng, 2005) treats coreference resolution as a problem of ranking candidate partitions generated by a set of coreference systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we view coreference resolution as a problem of ranking candidate partitions generated by different coreference systems.</S><S sid = NA ssid = NA>Ranking candidate partitions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1020.txt | Citing Article:  W06-1633.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main difference between this approach and ours is that (Ng, 2005)'s approach takes coreference resolution one step further, by comparing the results of multiple systems, while our system is a single resolver; furthermore, he emphasizes the global optimization of ranking clusters obtained locally, whereas our focus is on globally optimizing the clusterization method inside the resolver.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach.</S><S sid = NA ssid = NA>Our approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1020.txt | Citing Article:  W12-4508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are many different training example generation algorithms, e.g., McCarthy and Lehnert's method, Soon et als method, Ng and Cardies method (Ng, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In an attempt to reduce the training time, Soon et al.’s method creates a smaller number of training instances than McCarthy and Lehnert’s.</S><S sid = NA ssid = NA>Negative instances are generated as in Soon et al.’s method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1020.txt | Citing Article:  P07-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to many previous works on co-reference (Ng, 2005), we cast the problem as a classification task and solve it in two steps: (1) train a classifier to determine whether two mentions are co-referent or not, and (2) use a clustering algorithm to partition the mentions into clusters, based on the pairwise predictions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A learning-based coreference system can be defined by four elements: the learning algorithm used to train the coreference classifier, the method of creating training instances for the learner, the feature set used to represent a training or test instance, and the clustering algorithm used to coordinate the coreference classification decisions.</S><S sid = NA ssid = NA>Specifically, a classifier is first trained to determine whether two NPs in a document are co-referring or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1020.txt | Citing Article:  N07-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To our knowledge, the best results on this dataset were obtained by the meta-classification scheme of Ng (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, the best result for BNEWS is achieved using only method-based features, whereas the best result for NPAPER is obtained using only partitionbased features.</S><S sid = NA ssid = NA>To our knowledge, our work is the first attempt to optimize a ranker for clustering-level accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


