Citance Number: 1 | Reference Article:  P83-1021.txt | Citing Article:  P85-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>such as Earley deduction, to coestruct a parser, a.s shown in Pereira and Warren (1983).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1983).</S><S sid = NA ssid = NA>The connection between parsing and deduction was developed further in the design of the Earley Deduction proof procedure (Warren, 1975), which will also be discussed at length here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P83-1021.txt | Citing Article:  P85-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For reasons of time, I won't go into details of Earley Deduction (see Pereira and Warren (1983) for details}.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1983).</S><S sid = NA ssid = NA>The connection between parsing and deduction was developed further in the design of the Earley Deduction proof procedure (Warren, 1975), which will also be discussed at length here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P83-1021.txt | Citing Article:  E09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Deductive logic (Pereira and Warren, 1983), extended with semi rings (Goodman, 1999), is an established formal ism used in parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1983).</S><S sid = NA ssid = NA>These problems do not preclude its use for creating uniquely efficient parsers for suitably constructed grammars (Warren and Pereira, 1983: Pereira, 1982), but the broader questions of the relation between parsing and deduction and of the derivation of online parsing algorithms for unification formalisms require that we look at a more generally applicable class of proof procedures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P83-1021.txt | Citing Article:  W06-0402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While chart parsing can famously be cast as deduction (Pereira and Warren, 1983), what chart parsing really is is an algebraic closure over the rules of a phrase structure grammar, which is most naturally expressed inside a constraint solver such as CHR (Morawietz, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Parsing As Deduction</S><S sid = NA ssid = NA>Chart-parsing procedures start with a chart containing the passive edges for the input string.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P83-1021.txt | Citing Article:  H89-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Basically, it is similar to Earley's algorithm (Earley, 1970), augmented with unification (Pereira and Warren, 1983) and probability (Paeseler, 1987), but with a delayed commitment approach to scoring (Aho and Peterson, 1972).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1080) and Earley (Earley, 1970).</S><S sid = NA ssid = NA>The Earley Deduction proof procedure schema is named after Earley's context-free parsing algorithm (Earley, 1970), on which it is based.</S> | Discourse Facet:  NA | Annotator: Automatic


